f_acidente;d_condicaometereologica
369281;Céu Claro
369282;Céu Claro
369283;Nevoeiro/Neblina
369284;Ignorado
369286;Céu Claro
369287;Céu Claro
369288;Céu Claro
369289;Céu Claro
369290;Céu Claro
369291;Sol
369292;Céu Claro
369294;Céu Claro
369295;Céu Claro
369296;Céu Claro
369297;Céu Claro
369298;Nevoeiro/Neblina
369299;Céu Claro
369300;Céu Claro
369301;Nevoeiro/Neblina
369302;Céu Claro
369303;Céu Claro
369304;Céu Claro
369306;Sol
369307;Nevoeiro/Neblina
369309;Céu Claro
369310;Céu Claro
369311;Nublado
369312;Céu Claro
369313;Céu Claro
369314;Céu Claro
369315;Céu Claro
369316;Nublado
369317;Céu Claro
369318;Nublado
369319;Céu Claro
369320;Céu Claro
369322;Céu Claro
369325;Céu Claro
369326;Sol
369328;Nublado
369329;Céu Claro
369330;Céu Claro
369331;Nublado
369333;Céu Claro
369334;Céu Claro
369335;Céu Claro
369336;Céu Claro
369337;Céu Claro
369338;Céu Claro
369339;Céu Claro
369340;Sol
369341;Céu Claro
369342;Sol
369343;Céu Claro
369345;Céu Claro
369346;Nevoeiro/Neblina
369347;Céu Claro
369348;Céu Claro
369349;Céu Claro
369350;Chuva
369351;Nublado
369352;Céu Claro
369353;Céu Claro
369354;Nublado
369355;Céu Claro
369356;Céu Claro
369357;Nublado
369358;Céu Claro
369360;Céu Claro
369361;Céu Claro
369362;Céu Claro
369364;Céu Claro
369365;Céu Claro
369366;Céu Claro
369367;Céu Claro
369368;Céu Claro
369369;Céu Claro
369370;Céu Claro
369371;Céu Claro
369372;Céu Claro
369373;Chuva
369374;Sol
369375;Sol
369376;Nublado
369377;Céu Claro
369378;Sol
369379;Céu Claro
369380;Céu Claro
369381;Céu Claro
369382;Céu Claro
369383;Céu Claro
369384;Céu Claro
369385;Nublado
369386;Céu Claro
369387;Céu Claro
369388;Céu Claro
369389;Céu Claro
369390;Céu Claro
369391;Céu Claro
369392;Nublado
369393;Céu Claro
369394;Céu Claro
369395;Céu Claro
369396;Céu Claro
369398;Céu Claro
369399;Nublado
369400;Céu Claro
369402;Céu Claro
369403;Céu Claro
369404;Sol
369407;Nublado
369408;Céu Claro
369410;Sol
369412;Céu Claro
369413;Céu Claro
369414;Céu Claro
369416;Nublado
369417;Céu Claro
369418;Sol
369419;Sol
369420;Céu Claro
369421;Céu Claro
369422;Céu Claro
369423;Céu Claro
369424;Céu Claro
369426;Nublado
369427;Céu Claro
369429;Céu Claro
369431;Céu Claro
369432;Céu Claro
369434;Sol
369435;Céu Claro
369436;Sol
369437;Céu Claro
369438;Chuva
369439;Céu Claro
369440;Céu Claro
369441;Céu Claro
369443;Céu Claro
369444;Céu Claro
369445;Céu Claro
369446;Céu Claro
369447;Céu Claro
369448;Céu Claro
369449;Céu Claro
369451;Céu Claro
369452;Nublado
369453;Céu Claro
369454;Céu Claro
369455;Céu Claro
369456;Céu Claro
369458;Céu Claro
369459;Céu Claro
369460;Nublado
369461;Céu Claro
369462;Céu Claro
369463;Céu Claro
369465;Nublado
369466;Céu Claro
369467;Céu Claro
369468;Céu Claro
369469;Nublado
369471;Céu Claro
369472;Céu Claro
369473;Chuva
369474;Céu Claro
369475;Céu Claro
369476;Chuva
369478;Céu Claro
369479;Céu Claro
369480;Céu Claro
369481;Céu Claro
369482;Céu Claro
369483;Céu Claro
369484;Céu Claro
369485;Céu Claro
369486;Céu Claro
369487;Céu Claro
369488;Céu Claro
369489;Céu Claro
369490;Céu Claro
369491;Céu Claro
369492;Céu Claro
369493;Sol
369494;Céu Claro
369495;Céu Claro
369496;Céu Claro
369497;Céu Claro
369498;Céu Claro
369499;Nublado
369500;Céu Claro
369501;Céu Claro
369502;Céu Claro
369503;Nublado
369504;Nublado
369505;Céu Claro
369506;Céu Claro
369507;Céu Claro
369509;Céu Claro
369510;Céu Claro
369511;Céu Claro
369512;Céu Claro
369513;Céu Claro
369514;Céu Claro
369515;Nublado
369516;Céu Claro
369517;Céu Claro
369518;Céu Claro
369519;Céu Claro
369520;Céu Claro
369521;Céu Claro
369523;Nevoeiro/Neblina
369524;Nublado
369526;Céu Claro
369527;Nevoeiro/Neblina
369528;Céu Claro
369529;Céu Claro
369530;Céu Claro
369531;Céu Claro
369532;Céu Claro
369533;Céu Claro
369534;Céu Claro
369535;Céu Claro
369536;Nevoeiro/Neblina
369537;Nevoeiro/Neblina
369538;Nublado
369539;Céu Claro
369540;Céu Claro
369541;Céu Claro
369542;Céu Claro
369543;Céu Claro
369544;Céu Claro
369545;Céu Claro
369547;Céu Claro
369549;Céu Claro
369550;Céu Claro
369552;Céu Claro
369553;Nevoeiro/Neblina
369554;Ignorado
369555;Céu Claro
369556;Nevoeiro/Neblina
369558;Sol
369559;Nevoeiro/Neblina
369560;Céu Claro
369561;Sol
369562;Céu Claro
369563;Céu Claro
369565;Céu Claro
369566;Céu Claro
369567;Céu Claro
369568;Céu Claro
369569;Céu Claro
369570;Chuva
369571;Céu Claro
369572;Céu Claro
369573;Céu Claro
369574;Nublado
369575;Céu Claro
369576;Sol
369577;Céu Claro
369578;Céu Claro
369579;Nublado
369580;Céu Claro
369581;Sol
369582;Céu Claro
369583;Céu Claro
369584;Céu Claro
369585;Céu Claro
369587;Nublado
369588;Sol
369589;Céu Claro
369590;Sol
369591;Céu Claro
369592;Nublado
369595;Sol
369596;Céu Claro
369597;Sol
369598;Chuva
369599;Céu Claro
369600;Chuva
369601;Céu Claro
369602;Céu Claro
369603;Céu Claro
369604;Sol
369605;Céu Claro
369606;Céu Claro
369607;Céu Claro
369608;Céu Claro
369609;Céu Claro
369610;Céu Claro
369611;Céu Claro
369612;Sol
369613;Nublado
369614;Sol
369616;Céu Claro
369618;Céu Claro
369619;Céu Claro
369620;Céu Claro
369621;Céu Claro
369622;Céu Claro
369623;Céu Claro
369625;Céu Claro
369627;Céu Claro
369628;Sol
369629;Céu Claro
369630;Chuva
369631;Céu Claro
369632;Céu Claro
369633;Céu Claro
369634;Céu Claro
369635;Sol
369637;Céu Claro
369638;Céu Claro
369639;Nublado
369640;Céu Claro
369641;Céu Claro
369642;Céu Claro
369643;Céu Claro
369644;Céu Claro
369645;Céu Claro
369646;Céu Claro
369647;Céu Claro
369648;Céu Claro
369649;Céu Claro
369650;Céu Claro
369652;Céu Claro
369653;Céu Claro
369654;Sol
369655;Céu Claro
369656;Céu Claro
369657;Céu Claro
369658;Céu Claro
369659;Céu Claro
369660;Céu Claro
369661;Céu Claro
369662;Céu Claro
369663;Céu Claro
369664;Céu Claro
369666;Céu Claro
369667;Chuva
369668;Chuva
369670;Céu Claro
369672;Céu Claro
369673;Chuva
369674;Céu Claro
369675;Céu Claro
369677;Céu Claro
369678;Céu Claro
369679;Céu Claro
369680;Céu Claro
369681;Sol
369682;Céu Claro
369684;Céu Claro
369685;Céu Claro
369686;Ignorado
369687;Céu Claro
369688;Chuva
369690;Céu Claro
369691;Nublado
369692;Céu Claro
369693;Céu Claro
369694;Céu Claro
369695;Chuva
369696;Céu Claro
369697;Céu Claro
369698;Céu Claro
369699;Céu Claro
369700;Céu Claro
369701;Céu Claro
369702;Céu Claro
369703;Céu Claro
369704;Céu Claro
369705;Céu Claro
369706;Céu Claro
369707;Céu Claro
369708;Céu Claro
369709;Céu Claro
369710;Céu Claro
369711;Céu Claro
369712;Chuva
369713;Nublado
369715;Céu Claro
369716;Céu Claro
369717;Céu Claro
369718;Céu Claro
369719;Nublado
369720;Céu Claro
369721;Céu Claro
369722;Céu Claro
369723;Céu Claro
369724;Céu Claro
369725;Céu Claro
369726;Céu Claro
369727;Céu Claro
369728;Céu Claro
369729;Céu Claro
369730;Garoa/Chuvisco
369732;Chuva
369733;Céu Claro
369734;Céu Claro
369735;Garoa/Chuvisco
369736;Céu Claro
369737;Céu Claro
369738;Céu Claro
369740;Céu Claro
369741;Céu Claro
369742;Céu Claro
369743;Céu Claro
369744;Céu Claro
369745;Céu Claro
369746;Céu Claro
369748;Nevoeiro/Neblina
369749;Chuva
369750;Céu Claro
369751;Céu Claro
369752;Vento
369753;Céu Claro
369754;Céu Claro
369755;Chuva
369756;Céu Claro
369757;Nublado
369758;Céu Claro
369759;Céu Claro
369760;Céu Claro
369761;Céu Claro
369762;Chuva
369763;Céu Claro
369764;Céu Claro
369765;Chuva
369766;Céu Claro
369767;Céu Claro
369768;Chuva
369769;Céu Claro
369770;Nevoeiro/Neblina
369771;Céu Claro
369772;Céu Claro
369773;Céu Claro
369774;Céu Claro
369775;Céu Claro
369776;Céu Claro
369777;Céu Claro
369778;Céu Claro
369779;Garoa/Chuvisco
369780;Chuva
369782;Céu Claro
369783;Céu Claro
369784;Céu Claro
369785;Nublado
369786;Nevoeiro/Neblina
369787;Ignorado
369788;Céu Claro
369789;Céu Claro
369790;Céu Claro
369791;Céu Claro
369792;Céu Claro
369794;Céu Claro
369795;Céu Claro
369796;Céu Claro
369797;Céu Claro
369798;Céu Claro
369799;Céu Claro
369800;Céu Claro
369801;Céu Claro
369802;Céu Claro
369803;Céu Claro
369805;Nublado
369806;Céu Claro
369807;Céu Claro
369808;Céu Claro
369809;Céu Claro
369810;Céu Claro
369811;Céu Claro
369812;Céu Claro
369813;Ignorado
369814;Céu Claro
369815;Céu Claro
369816;Nevoeiro/Neblina
369817;Céu Claro
369818;Ignorado
369819;Céu Claro
369820;Nevoeiro/Neblina
369821;Céu Claro
369822;Garoa/Chuvisco
369823;Céu Claro
369824;Céu Claro
369825;Nublado
369826;Céu Claro
369827;Nublado
369828;Chuva
369829;Céu Claro
369830;Céu Claro
369831;Sol
369832;Nublado
369833;Céu Claro
369834;Nublado
369835;Céu Claro
369836;Céu Claro
369837;Céu Claro
369839;Céu Claro
369840;Céu Claro
369841;Céu Claro
369842;Nublado
369843;Céu Claro
369844;Céu Claro
369845;Céu Claro
369847;Céu Claro
369848;Céu Claro
369849;Céu Claro
369850;Céu Claro
369851;Céu Claro
369852;Céu Claro
369853;Céu Claro
369854;Céu Claro
369855;Céu Claro
369856;Céu Claro
369857;Céu Claro
369858;Céu Claro
369860;Nublado
369861;Céu Claro
369862;Céu Claro
369863;Céu Claro
369864;Céu Claro
369865;Céu Claro
369867;Chuva
369869;Sol
369870;Céu Claro
369871;Céu Claro
369872;Nublado
369873;Ignorado
369874;Nublado
369875;Céu Claro
369876;Ignorado
369877;Céu Claro
369878;Garoa/Chuvisco
369879;Céu Claro
369880;Céu Claro
369881;Céu Claro
369882;Céu Claro
369884;Sol
369885;Céu Claro
369886;Nublado
369887;Céu Claro
369888;Ignorado
369889;Céu Claro
369890;Céu Claro
369891;Céu Claro
369892;Sol
369893;Céu Claro
369894;Céu Claro
369896;Céu Claro
369897;Céu Claro
369898;Céu Claro
369899;Céu Claro
369900;Céu Claro
369901;Céu Claro
369902;Nublado
369904;Céu Claro
369905;Céu Claro
369906;Céu Claro
369907;Céu Claro
369908;Sol
369909;Céu Claro
369910;Sol
369911;Céu Claro
369912;Céu Claro
369913;Nublado
369914;Céu Claro
369915;Céu Claro
369916;Céu Claro
369917;Céu Claro
369918;Céu Claro
369919;Céu Claro
369920;Céu Claro
369922;Céu Claro
369923;Céu Claro
369924;Céu Claro
369925;Céu Claro
369926;Céu Claro
369927;Nublado
369928;Sol
369929;Céu Claro
369930;Céu Claro
369931;Céu Claro
369932;Sol
369934;Sol
369935;Nublado
369936;Nublado
369937;Sol
369938;Céu Claro
369939;Céu Claro
369940;Céu Claro
369941;Céu Claro
369942;Céu Claro
369943;Chuva
369944;Céu Claro
369945;Nublado
369946;Céu Claro
369947;Céu Claro
369948;Céu Claro
369949;Nublado
369950;Sol
369951;Céu Claro
369952;Céu Claro
369953;Céu Claro
369954;Céu Claro
369955;Chuva
369956;Sol
369957;Céu Claro
369958;Céu Claro
369959;Céu Claro
369961;Céu Claro
369962;Céu Claro
369963;Céu Claro
369964;Nublado
369965;Céu Claro
369966;Nublado
369967;Nublado
369969;Céu Claro
369970;Céu Claro
369971;Céu Claro
369972;Céu Claro
369973;Céu Claro
369974;Nublado
369975;Céu Claro
369976;Nublado
369977;Céu Claro
369978;Céu Claro
369979;Nublado
369980;Céu Claro
369981;Céu Claro
369982;Céu Claro
369983;Céu Claro
369984;Céu Claro
369985;Céu Claro
369986;Céu Claro
369988;Céu Claro
369989;Nublado
369990;Nublado
369991;Nublado
369992;Céu Claro
369993;Céu Claro
369994;Céu Claro
369995;Céu Claro
369996;Céu Claro
369997;Céu Claro
369998;Céu Claro
369999;Céu Claro
370000;Nublado
370003;Céu Claro
370004;Céu Claro
370005;Céu Claro
370006;Céu Claro
370007;Céu Claro
370008;Ignorado
370009;Céu Claro
370010;Céu Claro
370011;Nevoeiro/Neblina
370012;Céu Claro
370013;Céu Claro
370014;Céu Claro
370015;Céu Claro
370016;Céu Claro
370017;Céu Claro
370018;Céu Claro
370019;Céu Claro
370020;Nublado
370021;Céu Claro
370022;Céu Claro
370024;Céu Claro
370025;Céu Claro
370026;Céu Claro
370027;Céu Claro
370028;Céu Claro
370029;Céu Claro
370030;Céu Claro
370031;Céu Claro
370032;Céu Claro
370034;Céu Claro
370035;Nublado
370036;Nublado
370039;Nublado
370040;Céu Claro
370041;Céu Claro
370042;Céu Claro
370043;Céu Claro
370044;Céu Claro
370045;Céu Claro
370046;Céu Claro
370047;Céu Claro
370048;Céu Claro
370049;Céu Claro
370050;Céu Claro
370051;Nublado
370052;Céu Claro
370053;Céu Claro
370055;Céu Claro
370056;Céu Claro
370057;Céu Claro
370058;Chuva
370059;Céu Claro
370060;Céu Claro
370062;Céu Claro
370063;Céu Claro
370064;Nevoeiro/Neblina
370065;Céu Claro
370066;Céu Claro
370067;Nublado
370068;Céu Claro
370070;Céu Claro
370072;Nevoeiro/Neblina
370073;Céu Claro
370075;Céu Claro
370076;Céu Claro
370077;Céu Claro
370079;Nevoeiro/Neblina
370082;Céu Claro
370083;Céu Claro
370084;Céu Claro
370085;Céu Claro
370086;Céu Claro
370087;Céu Claro
370088;Céu Claro
370089;Céu Claro
370091;Céu Claro
370092;Sol
370093;Céu Claro
370094;Nublado
370095;Céu Claro
370096;Nublado
370098;Céu Claro
370102;Sol
370103;Céu Claro
370104;Nublado
370105;Chuva
370107;Céu Claro
370108;Nublado
370109;Nevoeiro/Neblina
370110;Céu Claro
370111;Sol
370112;Céu Claro
370113;Céu Claro
370114;Céu Claro
370115;Chuva
370116;Céu Claro
370118;Sol
370119;Céu Claro
370122;Sol
370123;Chuva
370124;Céu Claro
370125;Céu Claro
370127;Céu Claro
370128;Céu Claro
370129;Céu Claro
370130;Céu Claro
370131;Nublado
370132;Céu Claro
370133;Céu Claro
370134;Céu Claro
370135;Céu Claro
370136;Céu Claro
370137;Céu Claro
370138;Céu Claro
370139;Céu Claro
370140;Céu Claro
370141;Nevoeiro/Neblina
370142;Nublado
370143;Céu Claro
370144;Sol
370145;Sol
370146;Céu Claro
370147;Sol
370148;Sol
370149;Céu Claro
370150;Céu Claro
370151;Céu Claro
370152;Céu Claro
370153;Céu Claro
370154;Céu Claro
370155;Céu Claro
370156;Céu Claro
370157;Céu Claro
370158;Sol
370160;Nublado
370161;Céu Claro
370162;Céu Claro
370163;Céu Claro
370164;Céu Claro
370165;Sol
370166;Nublado
370167;Sol
370168;Céu Claro
370169;Céu Claro
370171;Céu Claro
370172;Céu Claro
370173;Nublado
370174;Céu Claro
370175;Nublado
370176;Sol
370177;Nublado
370179;Céu Claro
370180;Céu Claro
370182;Céu Claro
370184;Céu Claro
370185;Céu Claro
370186;Ignorado
370188;Sol
370189;Céu Claro
370190;Sol
370191;Céu Claro
370193;Céu Claro
370194;Céu Claro
370195;Céu Claro
370196;Céu Claro
370198;Sol
370199;Céu Claro
370200;Céu Claro
370203;Céu Claro
370204;Céu Claro
370205;Céu Claro
370206;Céu Claro
370208;Céu Claro
370209;Sol
370210;Céu Claro
370211;Céu Claro
370212;Céu Claro
370213;Céu Claro
370214;Céu Claro
370215;Céu Claro
370216;Céu Claro
370217;Sol
370218;Céu Claro
370219;Céu Claro
370220;Céu Claro
370221;Céu Claro
370222;Céu Claro
370223;Céu Claro
370224;Chuva
370225;Céu Claro
370226;Nublado
370228;Céu Claro
370229;Céu Claro
370230;Céu Claro
370231;Céu Claro
370232;Céu Claro
370233;Céu Claro
370234;Céu Claro
370235;Céu Claro
370236;Céu Claro
370238;Céu Claro
370239;Céu Claro
370240;Céu Claro
370241;Nublado
370242;Céu Claro
370243;Céu Claro
370245;Céu Claro
370248;Céu Claro
370249;Céu Claro
370251;Céu Claro
370252;Céu Claro
370253;Céu Claro
370254;Céu Claro
370255;Céu Claro
370256;Céu Claro
370257;Céu Claro
370258;Céu Claro
370259;Céu Claro
370260;Céu Claro
370261;Nublado
370262;Céu Claro
370263;Nublado
370264;Céu Claro
370265;Céu Claro
370266;Céu Claro
370267;Céu Claro
370268;Céu Claro
370269;Céu Claro
370270;Céu Claro
370271;Céu Claro
370272;Céu Claro
370273;Céu Claro
370274;Céu Claro
370275;Céu Claro
370279;Céu Claro
370280;Céu Claro
370281;Nublado
370282;Céu Claro
370283;Céu Claro
370284;Céu Claro
370285;Céu Claro
370286;Céu Claro
370287;Céu Claro
370288;Céu Claro
370289;Céu Claro
370290;Céu Claro
370291;Céu Claro
370293;Céu Claro
370294;Céu Claro
370295;Céu Claro
370296;Céu Claro
370297;Céu Claro
370299;Nevoeiro/Neblina
370300;Nublado
370301;Ignorado
370302;Céu Claro
370303;Garoa/Chuvisco
370304;Céu Claro
370305;Nublado
370306;Sol
370307;Céu Claro
370308;Céu Claro
370309;Céu Claro
370310;Céu Claro
370311;Céu Claro
370312;Céu Claro
370313;Céu Claro
370314;Nevoeiro/Neblina
370315;Sol
370317;Nublado
370318;Céu Claro
370319;Céu Claro
370320;Céu Claro
370321;Céu Claro
370322;Céu Claro
370324;Céu Claro
370325;Céu Claro
370326;Céu Claro
370327;Céu Claro
370328;Céu Claro
370329;Céu Claro
370330;Céu Claro
370331;Céu Claro
370332;Nublado
370334;Céu Claro
370335;Céu Claro
370336;Céu Claro
370337;Céu Claro
370338;Céu Claro
370339;Céu Claro
370340;Nublado
370341;Céu Claro
370342;Céu Claro
370343;Sol
370346;Céu Claro
370347;Céu Claro
370348;Céu Claro
370349;Céu Claro
370350;Sol
370351;Céu Claro
370352;Céu Claro
370353;Céu Claro
370354;Nublado
370355;Céu Claro
370356;Céu Claro
370357;Chuva
370358;Céu Claro
370360;Sol
370361;Céu Claro
370362;Céu Claro
370363;Nublado
370364;Sol
370365;Céu Claro
370366;Céu Claro
370367;Céu Claro
370368;Céu Claro
370369;Céu Claro
370370;Céu Claro
370372;Céu Claro
370373;Céu Claro
370374;Sol
370375;Céu Claro
370376;Nublado
370377;Céu Claro
370378;Céu Claro
370379;Sol
370380;Céu Claro
370381;Ignorado
370382;Nublado
370383;Céu Claro
370384;Garoa/Chuvisco
370385;Céu Claro
370387;Céu Claro
370388;Céu Claro
370389;Céu Claro
370390;Céu Claro
370391;Sol
370393;Céu Claro
370394;Céu Claro
370395;Céu Claro
370396;Céu Claro
370397;Céu Claro
370398;Céu Claro
370399;Céu Claro
370400;Céu Claro
370401;Céu Claro
370402;Nublado
370403;Céu Claro
370404;Céu Claro
370405;Céu Claro
370406;Céu Claro
370407;Céu Claro
370408;Céu Claro
370410;Céu Claro
370411;Céu Claro
370413;Céu Claro
370415;Céu Claro
370416;Sol
370417;Céu Claro
370418;Céu Claro
370419;Céu Claro
370421;Céu Claro
370422;Céu Claro
370423;Céu Claro
370424;Céu Claro
370425;Céu Claro
370426;Céu Claro
370427;Céu Claro
370428;Chuva
370429;Céu Claro
370431;Céu Claro
370432;Céu Claro
370433;Nublado
370434;Céu Claro
370437;Chuva
370438;Sol
370439;Céu Claro
370440;Céu Claro
370441;Céu Claro
370442;Céu Claro
370443;Céu Claro
370444;Nublado
370445;Céu Claro
370446;Nublado
370447;Céu Claro
370448;Céu Claro
370449;Nublado
370450;Céu Claro
370452;Céu Claro
370453;Céu Claro
370454;Céu Claro
370455;Céu Claro
370456;Céu Claro
370457;Chuva
370459;Céu Claro
370460;Céu Claro
370469;Céu Claro
370470;Céu Claro
370471;Céu Claro
370472;Céu Claro
370473;Céu Claro
370474;Céu Claro
370475;Céu Claro
370476;Nublado
370477;Céu Claro
370478;Nublado
370479;Céu Claro
370481;Céu Claro
370482;Céu Claro
370483;Céu Claro
370484;Céu Claro
370485;Céu Claro
370487;Céu Claro
370488;Nublado
370489;Céu Claro
370491;Nublado
370492;Céu Claro
370493;Céu Claro
370494;Céu Claro
370495;Sol
370497;Sol
370498;Céu Claro
370499;Céu Claro
370500;Chuva
370501;Céu Claro
370502;Céu Claro
370503;Céu Claro
370504;Chuva
370505;Céu Claro
370506;Céu Claro
370507;Céu Claro
370508;Sol
370509;Céu Claro
370510;Céu Claro
370511;Céu Claro
370512;Nublado
370513;Céu Claro
370514;Céu Claro
370515;Chuva
370516;Céu Claro
370518;Nublado
370519;Sol
370520;Céu Claro
370522;Céu Claro
370523;Céu Claro
370524;Céu Claro
370525;Céu Claro
370526;Céu Claro
370527;Céu Claro
370528;Sol
370529;Céu Claro
370530;Céu Claro
370531;Sol
370532;Céu Claro
370533;Céu Claro
370534;Céu Claro
370535;Céu Claro
370536;Sol
370537;Céu Claro
370538;Céu Claro
370539;Chuva
370540;Chuva
370541;Céu Claro
370543;Céu Claro
370544;Céu Claro
370545;Nublado
370546;Céu Claro
370547;Sol
370548;Céu Claro
370549;Céu Claro
370551;Céu Claro
370553;Céu Claro
370554;Sol
370556;Céu Claro
370557;Céu Claro
370558;Céu Claro
370559;Céu Claro
370560;Chuva
370561;Céu Claro
370562;Chuva
370563;Céu Claro
370564;Sol
370565;Nublado
370566;Nublado
370567;Sol
370568;Céu Claro
370569;Nublado
370570;Céu Claro
370571;Sol
370572;Sol
370573;Céu Claro
370574;Céu Claro
370576;Céu Claro
370577;Céu Claro
370578;Céu Claro
370579;Céu Claro
370580;Céu Claro
370581;Céu Claro
370582;Céu Claro
370583;Chuva
370585;Céu Claro
370586;Céu Claro
370587;Céu Claro
370588;Céu Claro
370590;Nublado
370591;Céu Claro
370592;Céu Claro
370593;Céu Claro
370594;Céu Claro
370595;Céu Claro
370596;Céu Claro
370597;Céu Claro
370599;Céu Claro
370600;Céu Claro
370601;Céu Claro
370602;Céu Claro
370604;Céu Claro
370605;Céu Claro
370606;Céu Claro
370607;Nublado
370608;Garoa/Chuvisco
370609;Céu Claro
370610;Céu Claro
370612;Céu Claro
370614;Céu Claro
370615;Céu Claro
370616;Céu Claro
370617;Céu Claro
370618;Céu Claro
370619;Céu Claro
370620;Nublado
370621;Céu Claro
370624;Céu Claro
370625;Céu Claro
370626;Céu Claro
370627;Céu Claro
370628;Nublado
370629;Nublado
370630;Céu Claro
370631;Chuva
370632;Céu Claro
370633;Ignorado
370634;Céu Claro
370636;Céu Claro
370637;Céu Claro
370638;Céu Claro
370639;Ignorado
370640;Chuva
370641;Céu Claro
370642;Céu Claro
370643;Céu Claro
370644;Céu Claro
370645;Garoa/Chuvisco
370646;Garoa/Chuvisco
370647;Céu Claro
370648;Céu Claro
370649;Céu Claro
370650;Céu Claro
370651;Céu Claro
370652;Sol
370653;Nevoeiro/Neblina
370655;Céu Claro
370657;Nublado
370658;Céu Claro
370659;Céu Claro
370660;Nublado
370662;Céu Claro
370663;Céu Claro
370664;Céu Claro
370665;Céu Claro
370666;Céu Claro
370667;Chuva
370668;Céu Claro
370669;Nublado
370670;Ignorado
370671;Céu Claro
370672;Céu Claro
370674;Nublado
370675;Céu Claro
370676;Céu Claro
370677;Céu Claro
370678;Garoa/Chuvisco
370679;Céu Claro
370680;Nevoeiro/Neblina
370682;Garoa/Chuvisco
370683;Céu Claro
370684;Céu Claro
370685;Céu Claro
370687;Céu Claro
370689;Céu Claro
370690;Céu Claro
370691;Céu Claro
370692;Garoa/Chuvisco
370694;Céu Claro
370695;Céu Claro
370696;Céu Claro
370697;Céu Claro
370698;Céu Claro
370699;Ignorado
370701;Céu Claro
370702;Céu Claro
370703;Céu Claro
370704;Nublado
370705;Céu Claro
370706;Céu Claro
370707;Sol
370708;Céu Claro
370710;Chuva
370711;Chuva
370712;Sol
370713;Céu Claro
370714;Chuva
370716;Sol
370717;Sol
370718;Céu Claro
370719;Vento
370721;Garoa/Chuvisco
370723;Céu Claro
370724;Céu Claro
370725;Céu Claro
370726;Sol
370727;Céu Claro
370728;Céu Claro
370730;Sol
370731;Chuva
370732;Sol
370733;Nublado
370734;Céu Claro
370736;Nublado
370737;Céu Claro
370738;Céu Claro
370739;Céu Claro
370740;Céu Claro
370741;Sol
370742;Sol
370743;Garoa/Chuvisco
370744;Céu Claro
370745;Chuva
370746;Céu Claro
370747;Chuva
370748;Sol
370749;Nublado
370750;Nublado
370751;Céu Claro
370752;Nublado
370753;Nublado
370754;Céu Claro
370755;Céu Claro
370756;Céu Claro
370757;Chuva
370758;Céu Claro
370759;Céu Claro
370760;Céu Claro
370761;Nublado
370763;Chuva
370764;Céu Claro
370766;Céu Claro
370768;Céu Claro
370769;Céu Claro
370771;Nublado
370772;Céu Claro
370773;Céu Claro
370774;Céu Claro
370775;Céu Claro
370777;Céu Claro
370780;Chuva
370781;Céu Claro
370782;Nublado
370783;Sol
370784;Céu Claro
370786;Sol
370787;Céu Claro
370789;Garoa/Chuvisco
370790;Garoa/Chuvisco
370791;Céu Claro
370792;Céu Claro
370793;Chuva
370794;Céu Claro
370796;Céu Claro
370797;Céu Claro
370798;Céu Claro
370799;Céu Claro
370801;Céu Claro
370802;Céu Claro
370803;Nublado
370804;Céu Claro
370805;Chuva
370806;Céu Claro
370808;Chuva
370809;Nublado
370810;Céu Claro
370811;Céu Claro
370812;Céu Claro
370813;Chuva
370814;Nublado
370815;Céu Claro
370816;Céu Claro
370817;Chuva
370818;Céu Claro
370819;Nublado
370821;Chuva
370822;Céu Claro
370823;Garoa/Chuvisco
370825;Chuva
370827;Céu Claro
370828;Céu Claro
370829;Chuva
370830;Chuva
370831;Céu Claro
370832;Céu Claro
370833;Céu Claro
370834;Céu Claro
370835;Vento
370836;Céu Claro
370837;Céu Claro
370838;Céu Claro
370839;Céu Claro
370840;Chuva
370841;Céu Claro
370842;Céu Claro
370843;Céu Claro
370844;Céu Claro
370846;Céu Claro
370847;Céu Claro
370848;Nublado
370849;Céu Claro
370850;Céu Claro
370851;Nublado
370852;Céu Claro
370853;Chuva
370854;Chuva
370855;Chuva
370857;Chuva
370858;Céu Claro
370859;Nublado
370860;Céu Claro
370861;Céu Claro
370862;Garoa/Chuvisco
370863;Céu Claro
370864;Garoa/Chuvisco
370865;Céu Claro
370866;Nublado
370867;Céu Claro
370870;Garoa/Chuvisco
370871;Céu Claro
370872;Céu Claro
370873;Chuva
370874;Céu Claro
370875;Céu Claro
370876;Sol
370877;Sol
370878;Sol
370879;Céu Claro
370880;Céu Claro
370881;Sol
370882;Garoa/Chuvisco
370883;Chuva
370884;Céu Claro
370885;Sol
370886;Nevoeiro/Neblina
370887;Céu Claro
370888;Nublado
370889;Céu Claro
370890;Nublado
370891;Céu Claro
370893;Céu Claro
370895;Céu Claro
370896;Céu Claro
370897;Céu Claro
370898;Céu Claro
370899;Céu Claro
370901;Céu Claro
370902;Céu Claro
370903;Céu Claro
370904;Céu Claro
370905;Chuva
370906;Chuva
370907;Céu Claro
370908;Céu Claro
370909;Chuva
370910;Garoa/Chuvisco
370911;Céu Claro
370912;Céu Claro
370913;Céu Claro
370914;Céu Claro
370915;Chuva
370916;Céu Claro
370919;Céu Claro
370923;Céu Claro
370924;Chuva
370926;Céu Claro
370927;Céu Claro
370928;Céu Claro
370929;Nublado
370930;Céu Claro
370932;Ignorado
370933;Céu Claro
370934;Céu Claro
