f_acidente;d_condicaometereologica
332147;Chuva
332149;Céu Claro
332150;Nublado
332151;Céu Claro
332152;Céu Claro
332153;Céu Claro
332155;Céu Claro
332156;Céu Claro
332158;Céu Claro
332159;Chuva
332161;Nublado
332163;Céu Claro
332165;Céu Claro
332166;Nublado
332167;Céu Claro
332168;Chuva
332169;Sol
332170;Sol
332171;Céu Claro
332172;Chuva
332173;Sol
332174;Céu Claro
332177;Céu Claro
332179;Céu Claro
332181;Céu Claro
332183;Chuva
332184;Nublado
332185;Sol
332186;Céu Claro
332189;Nublado
332190;Garoa/Chuvisco
332191;Céu Claro
332192;Sol
332193;Céu Claro
332194;Céu Claro
332195;Céu Claro
332196;Céu Claro
332197;Céu Claro
332198;Nublado
332199;Garoa/Chuvisco
332200;Céu Claro
332201;Céu Claro
332202;Sol
332203;Céu Claro
332204;Céu Claro
332205;Céu Claro
332206;Céu Claro
332207;Sol
332208;Céu Claro
332210;Sol
332211;Chuva
332213;Céu Claro
332214;Chuva
332215;Céu Claro
332216;Nublado
332217;Chuva
332218;Chuva
332220;Céu Claro
332221;Céu Claro
332222;Céu Claro
332223;Sol
332224;Céu Claro
332225;Céu Claro
332226;Sol
332227;Céu Claro
332228;Céu Claro
332229;Céu Claro
332230;Céu Claro
332232;Nublado
332233;Chuva
332235;Chuva
332236;Céu Claro
332237;Céu Claro
332238;Céu Claro
332239;Nublado
332240;Céu Claro
332242;Céu Claro
332243;Céu Claro
332244;Céu Claro
332245;Céu Claro
332247;Céu Claro
332249;Céu Claro
332250;Sol
332251;Céu Claro
332252;Chuva
332253;Chuva
332254;Sol
332255;Céu Claro
332256;Céu Claro
332257;Chuva
332258;Nublado
332259;Céu Claro
332260;Céu Claro
332261;Chuva
332262;Céu Claro
332263;Céu Claro
332264;Nublado
332265;Céu Claro
332266;Chuva
332267;Sol
332268;Nublado
332269;Chuva
332270;Sol
332271;Nublado
332273;Chuva
332274;Chuva
332275;Céu Claro
332276;Chuva
332277;Garoa/Chuvisco
332278;Céu Claro
332279;Céu Claro
332280;Garoa/Chuvisco
332281;Chuva
332282;Céu Claro
332283;Céu Claro
332284;Nublado
332285;Chuva
332286;Chuva
332287;Céu Claro
332288;Céu Claro
332289;Nublado
332290;Céu Claro
332291;Céu Claro
332292;Céu Claro
332293;Garoa/Chuvisco
332294;Céu Claro
332295;Céu Claro
332296;Céu Claro
332297;Garoa/Chuvisco
