f_acidente;d_classificacaoacidente
332007;Com Vítimas Feridas
332008;Com Vítimas Feridas
332009;Com Vítimas Feridas
332010;Com Vítimas Feridas
332011;Sem Vítimas
332012;Com Vítimas Feridas
332013;Com Vítimas Feridas
332014;Sem Vítimas
332015;Com Vítimas Feridas
332016;Com Vítimas Feridas
332017;Sem Vítimas
332018;Com Vítimas Feridas
332019;Sem Vítimas
332020;Com Vítimas Feridas
332022;Sem Vítimas
332023;Com Vítimas Feridas
332024;Com Vítimas Feridas
332025;Com Vítimas Feridas
332026;Com Vítimas Feridas
332027;Com Vítimas Feridas
332028;Com Vítimas Fatais
332030;Com Vítimas Feridas
332032;Com Vítimas Feridas
332033;Com Vítimas Feridas
332034;Com Vítimas Feridas
332035;Com Vítimas Feridas
332036;Com Vítimas Feridas
332037;Com Vítimas Feridas
332039;Com Vítimas Feridas
332041;Com Vítimas Feridas
332042;Sem Vítimas
332043;Sem Vítimas
332044;Com Vítimas Feridas
332045;Com Vítimas Fatais
332046;Sem Vítimas
332048;Com Vítimas Feridas
332049;Com Vítimas Feridas
332052;Com Vítimas Feridas
332053;Com Vítimas Feridas
332054;Com Vítimas Feridas
332055;Com Vítimas Feridas
332056;Com Vítimas Feridas
332057;Com Vítimas Feridas
332059;Com Vítimas Feridas
332060;Com Vítimas Feridas
332061;Sem Vítimas
332062;Com Vítimas Feridas
332063;Com Vítimas Feridas
332064;Com Vítimas Feridas
332065;Com Vítimas Feridas
332066;Com Vítimas Feridas
332068;Com Vítimas Feridas
332069;Com Vítimas Feridas
332070;Com Vítimas Feridas
332071;Com Vítimas Feridas
332072;Com Vítimas Feridas
332073;Com Vítimas Feridas
332074;Com Vítimas Feridas
332075;Com Vítimas Feridas
332076;Com Vítimas Fatais
332077;Com Vítimas Feridas
332078;Com Vítimas Feridas
332079;Com Vítimas Feridas
332081;Com Vítimas Fatais
332082;Com Vítimas Feridas
332083;Com Vítimas Feridas
332085;Com Vítimas Feridas
332086;Com Vítimas Fatais
332087;Com Vítimas Feridas
332088;Com Vítimas Feridas
332089;Com Vítimas Feridas
332090;Com Vítimas Feridas
332091;Com Vítimas Feridas
332092;Com Vítimas Feridas
332093;Com Vítimas Feridas
332094;Com Vítimas Feridas
332095;Sem Vítimas
332096;Com Vítimas Feridas
332097;Sem Vítimas
332098;Com Vítimas Feridas
332100;Sem Vítimas
332101;Com Vítimas Feridas
332102;Com Vítimas Feridas
332103;Com Vítimas Feridas
332104;Sem Vítimas
332105;Com Vítimas Feridas
332106;Com Vítimas Feridas
332107;Com Vítimas Feridas
332108;Sem Vítimas
332110;Com Vítimas Feridas
332111;Sem Vítimas
332112;Com Vítimas Feridas
332113;Sem Vítimas
332114;Com Vítimas Feridas
332116;Sem Vítimas
332117;Sem Vítimas
332119;Com Vítimas Feridas
332120;Sem Vítimas
332121;Com Vítimas Fatais
332122;Com Vítimas Feridas
332123;Com Vítimas Feridas
332124;Com Vítimas Feridas
332125;Sem Vítimas
332126;Sem Vítimas
332127;Com Vítimas Feridas
332128;Com Vítimas Feridas
332129;Com Vítimas Fatais
332130;Com Vítimas Feridas
332131;Com Vítimas Feridas
332132;Com Vítimas Feridas
332133;Com Vítimas Feridas
332134;Com Vítimas Feridas
332135;Com Vítimas Fatais
332136;Sem Vítimas
332138;Com Vítimas Feridas
332139;Com Vítimas Feridas
332140;Com Vítimas Feridas
332141;Com Vítimas Feridas
332142;Com Vítimas Feridas
332143;Com Vítimas Feridas
332144;Com Vítimas Feridas
332145;Com Vítimas Fatais
332147;Com Vítimas Feridas
332149;Sem Vítimas
332150;Com Vítimas Feridas
332151;Sem Vítimas
332152;Sem Vítimas
332153;Com Vítimas Feridas
332155;Com Vítimas Feridas
332156;Com Vítimas Feridas
332158;Com Vítimas Feridas
332159;Com Vítimas Feridas
332161;Sem Vítimas
332163;Com Vítimas Feridas
332165;Com Vítimas Feridas
332166;Com Vítimas Feridas
332167;Sem Vítimas
332168;Com Vítimas Feridas
332169;Com Vítimas Feridas
332170;Com Vítimas Feridas
332171;Com Vítimas Feridas
332172;Sem Vítimas
332173;Com Vítimas Feridas
332174;Sem Vítimas
332177;Com Vítimas Feridas
332179;Com Vítimas Feridas
332181;Com Vítimas Feridas
332183;Com Vítimas Feridas
332184;Com Vítimas Feridas
332185;Com Vítimas Feridas
332186;Com Vítimas Feridas
332189;Com Vítimas Feridas
332190;Com Vítimas Feridas
332191;Com Vítimas Feridas
332192;Com Vítimas Feridas
332193;Com Vítimas Feridas
332194;Com Vítimas Feridas
332195;Com Vítimas Feridas
332196;Com Vítimas Feridas
332197;Com Vítimas Feridas
332198;Com Vítimas Feridas
332199;Com Vítimas Feridas
332200;Com Vítimas Feridas
332201;Sem Vítimas
332202;Sem Vítimas
332203;Com Vítimas Feridas
332204;Com Vítimas Feridas
332205;Com Vítimas Feridas
332206;Com Vítimas Feridas
332207;Com Vítimas Feridas
332208;Com Vítimas Feridas
332210;Com Vítimas Feridas
332211;Com Vítimas Feridas
332213;Com Vítimas Feridas
