f_acidente;d_classificacaoacidente
341624;Com Vítimas Feridas
341626;Com Vítimas Feridas
341627;Com Vítimas Feridas
341628;Com Vítimas Feridas
341631;Com Vítimas Feridas
341633;Com Vítimas Feridas
341634;Com Vítimas Feridas
341635;Com Vítimas Feridas
341636;Com Vítimas Feridas
341638;Com Vítimas Feridas
341639;Com Vítimas Feridas
341640;Com Vítimas Feridas
341642;Com Vítimas Feridas
341644;Com Vítimas Feridas
341645;Com Vítimas Feridas
341646;Com Vítimas Feridas
341647;Com Vítimas Feridas
341648;Com Vítimas Feridas
341649;Com Vítimas Feridas
341650;Com Vítimas Feridas
341651;Com Vítimas Feridas
341652;Com Vítimas Feridas
341653;Com Vítimas Feridas
341654;Com Vítimas Feridas
341655;Com Vítimas Feridas
341656;Com Vítimas Feridas
341657;Sem Vítimas
341658;Com Vítimas Feridas
341659;Com Vítimas Fatais
341660;Sem Vítimas
341661;Com Vítimas Feridas
341662;Com Vítimas Feridas
341663;Com Vítimas Feridas
341664;Sem Vítimas
341665;Sem Vítimas
341666;Com Vítimas Feridas
341667;Sem Vítimas
341668;Com Vítimas Feridas
341669;Com Vítimas Feridas
341672;Com Vítimas Feridas
341673;Sem Vítimas
341674;Sem Vítimas
341676;Com Vítimas Feridas
341678;Com Vítimas Feridas
341679;Com Vítimas Feridas
341680;Com Vítimas Feridas
341682;Com Vítimas Fatais
341683;Sem Vítimas
341684;Com Vítimas Feridas
341685;Sem Vítimas
341686;Sem Vítimas
341689;Com Vítimas Feridas
341692;Com Vítimas Feridas
341693;Com Vítimas Feridas
341695;Com Vítimas Fatais
341696;Com Vítimas Feridas
341697;Sem Vítimas
341698;Com Vítimas Feridas
341700;Com Vítimas Feridas
341701;Com Vítimas Feridas
341702;Sem Vítimas
341704;Sem Vítimas
341705;Com Vítimas Feridas
341706;Com Vítimas Feridas
341708;Com Vítimas Feridas
341709;Sem Vítimas
341710;Com Vítimas Feridas
341711;Sem Vítimas
341712;Com Vítimas Feridas
341713;Com Vítimas Feridas
341714;Com Vítimas Feridas
341715;Sem Vítimas
341717;Com Vítimas Feridas
341718;Com Vítimas Feridas
341719;Com Vítimas Feridas
341720;Com Vítimas Feridas
341721;Com Vítimas Feridas
341722;Com Vítimas Feridas
341723;Com Vítimas Feridas
341724;Com Vítimas Feridas
341725;Com Vítimas Feridas
341726;Com Vítimas Fatais
341727;Sem Vítimas
341728;Com Vítimas Feridas
341729;Com Vítimas Feridas
341730;Com Vítimas Feridas
341731;Com Vítimas Feridas
341732;Sem Vítimas
341733;Sem Vítimas
341734;Com Vítimas Feridas
341735;Com Vítimas Feridas
341739;Com Vítimas Fatais
341740;Com Vítimas Feridas
341741;Com Vítimas Feridas
341742;Com Vítimas Feridas
341743;Sem Vítimas
341744;Com Vítimas Feridas
341746;Sem Vítimas
341747;Com Vítimas Feridas
341748;Sem Vítimas
341749;Com Vítimas Feridas
341750;Com Vítimas Feridas
341751;Com Vítimas Feridas
341752;Com Vítimas Feridas
341753;Com Vítimas Feridas
341754;Com Vítimas Feridas
341755;Com Vítimas Fatais
341756;Sem Vítimas
341757;Com Vítimas Fatais
341758;Com Vítimas Feridas
341759;Sem Vítimas
341760;Sem Vítimas
341761;Com Vítimas Feridas
341762;Com Vítimas Feridas
341763;Com Vítimas Feridas
341764;Com Vítimas Feridas
341765;Com Vítimas Feridas
341767;Com Vítimas Feridas
341768;Sem Vítimas
341770;Com Vítimas Fatais
341771;Com Vítimas Fatais
341772;Sem Vítimas
341773;Com Vítimas Feridas
341774;Com Vítimas Feridas
341775;Com Vítimas Feridas
341776;Com Vítimas Feridas
341777;Com Vítimas Feridas
341778;Sem Vítimas
341779;Com Vítimas Feridas
341780;Sem Vítimas
341781;Sem Vítimas
341782;Com Vítimas Feridas
341783;Sem Vítimas
341784;Sem Vítimas
341785;Com Vítimas Feridas
341786;Sem Vítimas
341787;Com Vítimas Feridas
341788;Sem Vítimas
341789;Sem Vítimas
341790;Com Vítimas Feridas
341792;Com Vítimas Feridas
341794;Com Vítimas Feridas
341795;Com Vítimas Feridas
341797;Com Vítimas Feridas
341798;Sem Vítimas
341799;Sem Vítimas
341800;Com Vítimas Feridas
341801;Com Vítimas Feridas
341802;Com Vítimas Feridas
341803;Com Vítimas Fatais
341804;Com Vítimas Feridas
341805;Com Vítimas Feridas
341806;Com Vítimas Feridas
341807;Com Vítimas Feridas
341808;Com Vítimas Feridas
341809;Com Vítimas Feridas
341810;Com Vítimas Feridas
341811;Com Vítimas Feridas
341812;Sem Vítimas
341813;Sem Vítimas
341814;Com Vítimas Feridas
341815;Com Vítimas Feridas
341816;Com Vítimas Feridas
341818;Com Vítimas Feridas
341819;Com Vítimas Feridas
341820;Com Vítimas Feridas
341821;Com Vítimas Feridas
341822;Com Vítimas Feridas
341823;Com Vítimas Feridas
341827;Com Vítimas Feridas
341828;Com Vítimas Feridas
341829;Com Vítimas Feridas
341830;Com Vítimas Feridas
341832;Com Vítimas Feridas
341833;Com Vítimas Feridas
341834;Com Vítimas Feridas
341835;Com Vítimas Feridas
341836;Com Vítimas Feridas
341837;Com Vítimas Feridas
341838;Com Vítimas Feridas
341839;Com Vítimas Feridas
341840;Com Vítimas Feridas
341841;Com Vítimas Feridas
341842;Com Vítimas Feridas
341843;Com Vítimas Feridas
341844;Com Vítimas Feridas
341846;Com Vítimas Feridas
341847;Com Vítimas Feridas
341848;Com Vítimas Feridas
341849;Com Vítimas Feridas
341851;Com Vítimas Feridas
341853;Sem Vítimas
341854;Com Vítimas Feridas
341855;Com Vítimas Feridas
341856;Com Vítimas Feridas
341857;Sem Vítimas
341858;Com Vítimas Feridas
341859;Com Vítimas Feridas
341860;Sem Vítimas
341863;Com Vítimas Feridas
341864;Com Vítimas Feridas
341865;Sem Vítimas
341866;Com Vítimas Feridas
341867;Com Vítimas Feridas
341868;Com Vítimas Feridas
341869;Com Vítimas Feridas
341870;Com Vítimas Fatais
341871;Com Vítimas Fatais
341872;Com Vítimas Feridas
341873;Com Vítimas Feridas
341874;Com Vítimas Feridas
341875;Com Vítimas Feridas
341876;Com Vítimas Feridas
341877;Com Vítimas Feridas
341878;Com Vítimas Fatais
341880;Com Vítimas Feridas
341881;Com Vítimas Feridas
341882;Com Vítimas Feridas
341883;Com Vítimas Feridas
341884;Com Vítimas Feridas
341885;Com Vítimas Feridas
341886;Com Vítimas Feridas
341887;Com Vítimas Feridas
341888;Com Vítimas Feridas
341890;Com Vítimas Feridas
341892;Com Vítimas Feridas
341893;Com Vítimas Feridas
341894;Com Vítimas Feridas
341895;Com Vítimas Feridas
341896;Com Vítimas Feridas
341897;Sem Vítimas
341898;Com Vítimas Feridas
341899;Com Vítimas Feridas
341900;Com Vítimas Feridas
341901;Com Vítimas Feridas
341904;Sem Vítimas
341907;Com Vítimas Feridas
341908;Com Vítimas Feridas
341909;Com Vítimas Feridas
341911;Com Vítimas Feridas
341912;Com Vítimas Feridas
341914;Com Vítimas Fatais
341915;Com Vítimas Feridas
341916;Sem Vítimas
341917;Com Vítimas Feridas
341918;Com Vítimas Feridas
341919;Com Vítimas Feridas
341920;Com Vítimas Feridas
341921;Com Vítimas Feridas
341925;Sem Vítimas
341926;Com Vítimas Feridas
341928;Com Vítimas Fatais
341929;Com Vítimas Feridas
341930;Com Vítimas Feridas
341931;Sem Vítimas
341932;Com Vítimas Feridas
341933;Com Vítimas Feridas
341934;Com Vítimas Feridas
341935;Com Vítimas Fatais
341936;Com Vítimas Feridas
341937;Com Vítimas Feridas
341939;Com Vítimas Feridas
341940;Com Vítimas Feridas
341941;Com Vítimas Feridas
341944;Com Vítimas Feridas
341945;Com Vítimas Feridas
341946;Com Vítimas Feridas
341947;Sem Vítimas
341949;Com Vítimas Feridas
341950;Com Vítimas Fatais
341951;Com Vítimas Feridas
341952;Com Vítimas Feridas
341953;Com Vítimas Feridas
341954;Sem Vítimas
341956;Com Vítimas Feridas
341958;Com Vítimas Feridas
341959;Com Vítimas Fatais
341960;Com Vítimas Feridas
341961;Com Vítimas Feridas
341962;Com Vítimas Feridas
341963;Com Vítimas Feridas
341964;Com Vítimas Feridas
341965;Com Vítimas Feridas
341966;Com Vítimas Feridas
341967;Sem Vítimas
341968;Com Vítimas Feridas
341969;Com Vítimas Feridas
341970;Com Vítimas Fatais
341971;Com Vítimas Feridas
341972;Sem Vítimas
341973;Com Vítimas Feridas
341974;Sem Vítimas
341975;Com Vítimas Feridas
341976;Com Vítimas Fatais
341977;Com Vítimas Feridas
341978;Sem Vítimas
341979;Com Vítimas Feridas
341980;Com Vítimas Feridas
341982;Com Vítimas Feridas
341983;Com Vítimas Feridas
341985;Com Vítimas Feridas
341986;Com Vítimas Feridas
341987;Com Vítimas Feridas
341989;Com Vítimas Feridas
341990;Sem Vítimas
341991;Sem Vítimas
341992;Com Vítimas Feridas
341995;Com Vítimas Fatais
341996;Com Vítimas Feridas
341997;Sem Vítimas
341999;Sem Vítimas
342000;Com Vítimas Feridas
342001;Sem Vítimas
342003;Com Vítimas Feridas
342004;Com Vítimas Feridas
342005;Com Vítimas Feridas
342006;Sem Vítimas
342007;Com Vítimas Feridas
342008;Com Vítimas Feridas
342009;Com Vítimas Feridas
342010;Com Vítimas Feridas
342011;Com Vítimas Feridas
342012;Com Vítimas Feridas
342013;Com Vítimas Feridas
342015;Com Vítimas Feridas
342016;Com Vítimas Feridas
342017;Com Vítimas Feridas
342018;Com Vítimas Feridas
342019;Com Vítimas Feridas
342020;Com Vítimas Feridas
342021;Com Vítimas Fatais
342022;Com Vítimas Fatais
342023;Com Vítimas Feridas
342024;Com Vítimas Fatais
342025;Sem Vítimas
342027;Com Vítimas Feridas
342028;Com Vítimas Feridas
342029;Sem Vítimas
342030;Com Vítimas Feridas
342031;Com Vítimas Feridas
342032;Sem Vítimas
342033;Com Vítimas Feridas
342034;Com Vítimas Feridas
342035;Com Vítimas Feridas
342037;Sem Vítimas
342038;Com Vítimas Feridas
342039;Com Vítimas Fatais
342040;Sem Vítimas
342041;Com Vítimas Fatais
342043;Com Vítimas Feridas
342044;Com Vítimas Feridas
342045;Sem Vítimas
342046;Com Vítimas Feridas
342047;Com Vítimas Feridas
342048;Com Vítimas Feridas
342049;Com Vítimas Feridas
342050;Sem Vítimas
342051;Com Vítimas Feridas
342052;Com Vítimas Feridas
342053;Com Vítimas Feridas
342054;Com Vítimas Feridas
342055;Com Vítimas Feridas
342056;Com Vítimas Feridas
342058;Com Vítimas Feridas
342059;Com Vítimas Feridas
342061;Com Vítimas Feridas
342062;Com Vítimas Feridas
342063;Com Vítimas Feridas
342065;Com Vítimas Feridas
342067;Com Vítimas Feridas
342068;Com Vítimas Feridas
342069;Com Vítimas Feridas
342070;Com Vítimas Feridas
342071;Sem Vítimas
342072;Com Vítimas Feridas
342073;Com Vítimas Fatais
342074;Com Vítimas Feridas
342075;Com Vítimas Feridas
342076;Com Vítimas Feridas
342078;Com Vítimas Feridas
342079;Sem Vítimas
342080;Com Vítimas Feridas
342081;Com Vítimas Feridas
342082;Sem Vítimas
342084;Com Vítimas Feridas
342085;Com Vítimas Feridas
342086;Sem Vítimas
342087;Sem Vítimas
342088;Com Vítimas Feridas
342089;Com Vítimas Feridas
342090;Com Vítimas Feridas
342091;Com Vítimas Feridas
342092;Com Vítimas Feridas
342093;Sem Vítimas
342094;Sem Vítimas
342095;Com Vítimas Fatais
342096;Sem Vítimas
342097;Com Vítimas Feridas
342098;Sem Vítimas
342099;Sem Vítimas
342100;Com Vítimas Feridas
342101;Com Vítimas Feridas
342102;Com Vítimas Feridas
342103;Com Vítimas Feridas
342104;Com Vítimas Feridas
342105;Com Vítimas Feridas
342106;Com Vítimas Feridas
342107;Com Vítimas Feridas
342108;Com Vítimas Feridas
342109;Com Vítimas Fatais
342110;Com Vítimas Feridas
342111;Com Vítimas Feridas
342112;Sem Vítimas
342114;Com Vítimas Feridas
342115;Sem Vítimas
342117;Com Vítimas Feridas
342118;Com Vítimas Feridas
342119;Com Vítimas Fatais
342120;Sem Vítimas
342122;Com Vítimas Feridas
342123;Com Vítimas Feridas
342124;Sem Vítimas
342125;Com Vítimas Feridas
342126;Com Vítimas Feridas
342127;Com Vítimas Feridas
342128;Sem Vítimas
342129;Com Vítimas Feridas
342130;Com Vítimas Feridas
342131;Sem Vítimas
342132;Com Vítimas Feridas
342133;Com Vítimas Feridas
342136;Com Vítimas Fatais
342137;Com Vítimas Feridas
342139;Com Vítimas Feridas
342140;Com Vítimas Feridas
342141;Com Vítimas Feridas
342142;Com Vítimas Feridas
342144;Com Vítimas Feridas
342145;Com Vítimas Feridas
342146;Com Vítimas Feridas
342147;Com Vítimas Feridas
342148;Com Vítimas Feridas
342149;Sem Vítimas
342150;Com Vítimas Feridas
342151;Com Vítimas Feridas
342152;Com Vítimas Feridas
342153;Com Vítimas Feridas
342154;Com Vítimas Feridas
342155;Sem Vítimas
342156;Com Vítimas Feridas
342157;Sem Vítimas
342158;Com Vítimas Feridas
342159;Com Vítimas Feridas
342160;Com Vítimas Feridas
342162;Com Vítimas Feridas
342163;Com Vítimas Feridas
342164;Com Vítimas Feridas
342166;Com Vítimas Feridas
342167;Sem Vítimas
342169;Com Vítimas Feridas
342170;Sem Vítimas
342171;Com Vítimas Feridas
342174;Sem Vítimas
342175;Sem Vítimas
342176;Com Vítimas Feridas
342177;Sem Vítimas
342178;Com Vítimas Feridas
342179;Com Vítimas Feridas
342180;Sem Vítimas
342181;Com Vítimas Fatais
342182;Sem Vítimas
342183;Sem Vítimas
342184;Com Vítimas Feridas
342185;Com Vítimas Feridas
342187;Com Vítimas Feridas
342188;Com Vítimas Feridas
342189;Com Vítimas Feridas
342191;Com Vítimas Feridas
342192;Sem Vítimas
342193;Com Vítimas Feridas
342194;Sem Vítimas
342195;Com Vítimas Feridas
342196;Com Vítimas Fatais
342197;Sem Vítimas
342198;Com Vítimas Feridas
342199;Com Vítimas Feridas
342200;Sem Vítimas
342202;Com Vítimas Fatais
342203;Com Vítimas Feridas
342204;Com Vítimas Feridas
342205;Sem Vítimas
342206;Sem Vítimas
342207;Com Vítimas Feridas
342208;Com Vítimas Feridas
342209;Com Vítimas Feridas
342210;Com Vítimas Feridas
342211;Com Vítimas Feridas
342212;Com Vítimas Feridas
342213;Com Vítimas Feridas
342214;Com Vítimas Feridas
342215;Com Vítimas Feridas
342216;Com Vítimas Feridas
342217;Com Vítimas Feridas
342218;Com Vítimas Feridas
342219;Sem Vítimas
342220;Com Vítimas Feridas
342221;Com Vítimas Feridas
342222;Com Vítimas Feridas
342223;Com Vítimas Feridas
342224;Com Vítimas Feridas
342225;Sem Vítimas
342226;Com Vítimas Feridas
342227;Com Vítimas Feridas
342228;Com Vítimas Feridas
342229;Com Vítimas Feridas
342231;Com Vítimas Feridas
342232;Com Vítimas Fatais
342233;Sem Vítimas
342234;Com Vítimas Feridas
342235;Com Vítimas Feridas
342236;Com Vítimas Feridas
342237;Com Vítimas Feridas
342238;Com Vítimas Feridas
342239;Com Vítimas Feridas
342240;Com Vítimas Feridas
342241;Com Vítimas Feridas
342242;Com Vítimas Feridas
342244;Com Vítimas Feridas
342245;Sem Vítimas
342246;Sem Vítimas
342247;Com Vítimas Feridas
342248;Com Vítimas Feridas
342249;Com Vítimas Feridas
342251;Com Vítimas Feridas
342252;Com Vítimas Feridas
342254;Com Vítimas Feridas
342255;Com Vítimas Feridas
342257;Com Vítimas Feridas
342259;Com Vítimas Feridas
342260;Com Vítimas Feridas
342261;Com Vítimas Feridas
342262;Com Vítimas Fatais
342263;Com Vítimas Feridas
342264;Sem Vítimas
342265;Com Vítimas Feridas
342266;Com Vítimas Feridas
342267;Com Vítimas Feridas
342268;Com Vítimas Feridas
342269;Com Vítimas Feridas
342270;Com Vítimas Feridas
342271;Com Vítimas Feridas
342272;Com Vítimas Feridas
342273;Com Vítimas Feridas
342274;Com Vítimas Feridas
342275;Com Vítimas Feridas
342276;Com Vítimas Feridas
342277;Com Vítimas Feridas
342278;Com Vítimas Feridas
342279;Com Vítimas Feridas
342280;Com Vítimas Feridas
342281;Com Vítimas Feridas
342282;Com Vítimas Feridas
342283;Com Vítimas Feridas
342284;Com Vítimas Feridas
342285;Com Vítimas Feridas
342286;Com Vítimas Feridas
342289;Com Vítimas Feridas
342290;Com Vítimas Feridas
342291;Com Vítimas Feridas
342292;Com Vítimas Feridas
342293;Com Vítimas Feridas
342294;Com Vítimas Feridas
342295;Sem Vítimas
342296;Com Vítimas Feridas
342297;Com Vítimas Feridas
342298;Sem Vítimas
342299;Com Vítimas Feridas
342300;Com Vítimas Feridas
342301;Com Vítimas Feridas
342302;Sem Vítimas
342303;Com Vítimas Feridas
342304;Com Vítimas Feridas
342305;Com Vítimas Feridas
342306;Com Vítimas Feridas
342307;Com Vítimas Feridas
342308;Com Vítimas Feridas
342309;Com Vítimas Feridas
342310;Com Vítimas Feridas
342311;Sem Vítimas
342312;Com Vítimas Feridas
342313;Com Vítimas Feridas
342314;Com Vítimas Feridas
342315;Com Vítimas Fatais
342316;Com Vítimas Feridas
342317;Com Vítimas Feridas
342319;Com Vítimas Feridas
342320;Com Vítimas Feridas
342321;Com Vítimas Feridas
342322;Com Vítimas Feridas
342324;Com Vítimas Feridas
342326;Com Vítimas Feridas
342327;Com Vítimas Feridas
342328;Sem Vítimas
342329;Com Vítimas Feridas
342330;Com Vítimas Feridas
342331;Com Vítimas Feridas
342332;Com Vítimas Feridas
342333;Com Vítimas Feridas
342334;Com Vítimas Feridas
342335;Com Vítimas Feridas
342336;Com Vítimas Feridas
342337;Com Vítimas Feridas
342338;Sem Vítimas
342339;Com Vítimas Feridas
342340;Com Vítimas Feridas
342341;Sem Vítimas
342342;Com Vítimas Feridas
342343;Com Vítimas Feridas
342345;Com Vítimas Feridas
342346;Com Vítimas Feridas
342347;Sem Vítimas
342348;Com Vítimas Feridas
342350;Com Vítimas Feridas
342351;Com Vítimas Feridas
342352;Sem Vítimas
342353;Com Vítimas Feridas
342354;Com Vítimas Fatais
342355;Com Vítimas Feridas
342356;Sem Vítimas
342357;Sem Vítimas
342359;Com Vítimas Feridas
342360;Sem Vítimas
342361;Sem Vítimas
342362;Com Vítimas Feridas
342363;Sem Vítimas
342364;Com Vítimas Feridas
342365;Sem Vítimas
342366;Com Vítimas Feridas
342367;Com Vítimas Feridas
342368;Com Vítimas Feridas
342369;Com Vítimas Feridas
342370;Sem Vítimas
342371;Com Vítimas Feridas
342372;Com Vítimas Feridas
342373;Com Vítimas Feridas
342374;Com Vítimas Fatais
342375;Sem Vítimas
342376;Sem Vítimas
342377;Com Vítimas Feridas
342378;Com Vítimas Feridas
342379;Com Vítimas Feridas
342380;Com Vítimas Feridas
342381;Com Vítimas Feridas
342382;Com Vítimas Fatais
342383;Sem Vítimas
342384;Com Vítimas Feridas
342386;Com Vítimas Feridas
342387;Com Vítimas Feridas
342389;Com Vítimas Feridas
342390;Sem Vítimas
342392;Sem Vítimas
342393;Com Vítimas Feridas
342394;Com Vítimas Feridas
342395;Com Vítimas Feridas
342396;Com Vítimas Feridas
342397;Com Vítimas Feridas
342398;Com Vítimas Feridas
342399;Com Vítimas Feridas
342400;Com Vítimas Feridas
342401;Com Vítimas Feridas
342403;Sem Vítimas
342404;Com Vítimas Feridas
342405;Com Vítimas Feridas
342406;Com Vítimas Feridas
342407;Com Vítimas Feridas
342408;Com Vítimas Feridas
342410;Com Vítimas Feridas
342411;Sem Vítimas
342412;Com Vítimas Feridas
342413;Com Vítimas Feridas
342414;Com Vítimas Fatais
342415;Sem Vítimas
342416;Com Vítimas Feridas
342417;Sem Vítimas
342418;Com Vítimas Feridas
342420;Com Vítimas Feridas
342421;Sem Vítimas
342422;Com Vítimas Feridas
342423;Com Vítimas Feridas
342424;Com Vítimas Feridas
342425;Com Vítimas Feridas
342426;Com Vítimas Feridas
342427;Com Vítimas Feridas
342428;Com Vítimas Feridas
342429;Com Vítimas Feridas
342430;Com Vítimas Feridas
342431;Com Vítimas Feridas
342432;Com Vítimas Feridas
342434;Com Vítimas Feridas
342435;Com Vítimas Feridas
342436;Com Vítimas Feridas
342438;Com Vítimas Feridas
342439;Com Vítimas Feridas
342440;Com Vítimas Feridas
342441;Com Vítimas Feridas
342442;Com Vítimas Feridas
342443;Com Vítimas Feridas
342444;Com Vítimas Feridas
342445;Com Vítimas Feridas
342446;Com Vítimas Feridas
342447;Com Vítimas Feridas
342449;Com Vítimas Feridas
342450;Com Vítimas Feridas
342451;Com Vítimas Feridas
342452;Com Vítimas Feridas
342453;Com Vítimas Feridas
342454;Com Vítimas Feridas
342455;Sem Vítimas
342456;Com Vítimas Feridas
342457;Com Vítimas Feridas
342458;Com Vítimas Feridas
342459;Sem Vítimas
342460;Com Vítimas Feridas
342461;Com Vítimas Feridas
342462;Com Vítimas Feridas
342463;Com Vítimas Feridas
342464;Sem Vítimas
342465;Com Vítimas Fatais
342466;Com Vítimas Feridas
342468;Com Vítimas Feridas
342469;Com Vítimas Feridas
342470;Com Vítimas Feridas
342471;Com Vítimas Feridas
342472;Com Vítimas Feridas
342473;Com Vítimas Feridas
342474;Com Vítimas Feridas
342476;Sem Vítimas
342477;Com Vítimas Feridas
342478;Com Vítimas Feridas
342479;Com Vítimas Feridas
342480;Com Vítimas Feridas
342481;Sem Vítimas
342484;Com Vítimas Feridas
342485;Com Vítimas Feridas
342486;Com Vítimas Feridas
342487;Sem Vítimas
342488;Sem Vítimas
342489;Com Vítimas Feridas
342490;Com Vítimas Feridas
342491;Sem Vítimas
342492;Com Vítimas Feridas
342493;Com Vítimas Feridas
342494;Com Vítimas Feridas
342495;Com Vítimas Feridas
342496;Com Vítimas Feridas
342497;Com Vítimas Feridas
342498;Sem Vítimas
342499;Com Vítimas Feridas
342500;Com Vítimas Feridas
342502;Com Vítimas Feridas
342503;Com Vítimas Feridas
342504;Com Vítimas Feridas
342505;Com Vítimas Feridas
342506;Sem Vítimas
342507;Sem Vítimas
342508;Com Vítimas Feridas
342509;Com Vítimas Feridas
342510;Com Vítimas Feridas
342511;Com Vítimas Feridas
342512;Sem Vítimas
342513;Com Vítimas Feridas
342514;Com Vítimas Feridas
342515;Com Vítimas Feridas
342516;Com Vítimas Feridas
342517;Com Vítimas Feridas
342518;Com Vítimas Feridas
342519;Com Vítimas Feridas
342521;Com Vítimas Feridas
342522;Com Vítimas Feridas
342524;Com Vítimas Feridas
342525;Com Vítimas Feridas
342526;Sem Vítimas
342527;Com Vítimas Feridas
342528;Com Vítimas Feridas
342529;Sem Vítimas
342530;Com Vítimas Feridas
342531;Com Vítimas Feridas
342532;Com Vítimas Feridas
342533;Sem Vítimas
342534;Com Vítimas Feridas
342535;Com Vítimas Fatais
342536;Com Vítimas Feridas
342537;Com Vítimas Feridas
342538;Com Vítimas Feridas
342539;Com Vítimas Feridas
342540;Com Vítimas Feridas
342541;Com Vítimas Feridas
342542;Com Vítimas Feridas
342543;Com Vítimas Feridas
342544;Sem Vítimas
342545;Com Vítimas Feridas
342547;Sem Vítimas
342548;Com Vítimas Fatais
342549;Com Vítimas Fatais
342550;Com Vítimas Fatais
342551;Com Vítimas Feridas
342552;Sem Vítimas
342553;Com Vítimas Feridas
342554;Com Vítimas Feridas
342555;Sem Vítimas
342556;Com Vítimas Feridas
342557;Sem Vítimas
342559;Com Vítimas Feridas
342560;Com Vítimas Feridas
342561;Com Vítimas Feridas
342562;Com Vítimas Feridas
342563;Com Vítimas Feridas
342564;Com Vítimas Feridas
342565;Com Vítimas Feridas
342566;Sem Vítimas
342567;Com Vítimas Feridas
342568;Com Vítimas Feridas
342569;Sem Vítimas
342570;Com Vítimas Feridas
342571;Com Vítimas Feridas
342572;Com Vítimas Feridas
342573;Com Vítimas Feridas
342574;Com Vítimas Feridas
342575;Com Vítimas Feridas
342576;Com Vítimas Fatais
342577;Com Vítimas Feridas
342578;Com Vítimas Feridas
342579;Com Vítimas Feridas
342580;Com Vítimas Feridas
342582;Com Vítimas Feridas
342583;Com Vítimas Feridas
342584;Com Vítimas Feridas
342585;Com Vítimas Feridas
342586;Sem Vítimas
342587;Com Vítimas Feridas
342588;Com Vítimas Feridas
342589;Com Vítimas Feridas
342591;Com Vítimas Feridas
342592;Sem Vítimas
342593;Com Vítimas Feridas
342594;Com Vítimas Feridas
342595;Com Vítimas Feridas
342596;Com Vítimas Feridas
342597;Com Vítimas Feridas
342598;Com Vítimas Feridas
342599;Com Vítimas Feridas
342600;Com Vítimas Feridas
342603;Com Vítimas Feridas
342604;Com Vítimas Feridas
342605;Com Vítimas Feridas
342606;Com Vítimas Feridas
342608;Com Vítimas Feridas
342610;Com Vítimas Feridas
342612;Com Vítimas Feridas
342615;Com Vítimas Feridas
342616;Com Vítimas Feridas
342617;Com Vítimas Feridas
342618;Com Vítimas Feridas
342619;Com Vítimas Feridas
342621;Com Vítimas Feridas
342622;Com Vítimas Feridas
342623;Com Vítimas Feridas
342625;Com Vítimas Feridas
342626;Com Vítimas Feridas
342627;Com Vítimas Feridas
342629;Com Vítimas Feridas
342631;Com Vítimas Feridas
342632;Com Vítimas Feridas
342633;Sem Vítimas
342635;Com Vítimas Feridas
342636;Com Vítimas Feridas
342637;Com Vítimas Fatais
342638;Com Vítimas Feridas
342639;Com Vítimas Feridas
342640;Sem Vítimas
342641;Com Vítimas Feridas
342643;Com Vítimas Feridas
342644;Com Vítimas Feridas
342645;Sem Vítimas
342646;Com Vítimas Feridas
342648;Sem Vítimas
342649;Com Vítimas Feridas
342650;Com Vítimas Feridas
342652;Sem Vítimas
342653;Com Vítimas Feridas
342654;Com Vítimas Feridas
342655;Sem Vítimas
342656;Com Vítimas Feridas
342657;Com Vítimas Feridas
342658;Com Vítimas Feridas
342661;Com Vítimas Feridas
342662;Com Vítimas Fatais
342663;Com Vítimas Feridas
342664;Com Vítimas Feridas
342666;Com Vítimas Fatais
342667;Com Vítimas Feridas
342668;Com Vítimas Feridas
342669;Com Vítimas Feridas
342671;Com Vítimas Feridas
342672;Com Vítimas Feridas
342673;Com Vítimas Feridas
342674;Com Vítimas Feridas
342675;Sem Vítimas
342677;Sem Vítimas
342678;Com Vítimas Feridas
342679;Sem Vítimas
342680;Com Vítimas Feridas
342681;Com Vítimas Feridas
342682;Com Vítimas Feridas
342683;Com Vítimas Feridas
342684;Com Vítimas Feridas
342685;Com Vítimas Feridas
342686;Com Vítimas Feridas
342687;Com Vítimas Feridas
342688;Com Vítimas Feridas
342689;Com Vítimas Feridas
342690;Com Vítimas Fatais
342691;Com Vítimas Feridas
342693;Com Vítimas Feridas
342694;Com Vítimas Feridas
342696;Com Vítimas Feridas
342697;Com Vítimas Feridas
342699;Com Vítimas Feridas
342700;Com Vítimas Feridas
342701;Com Vítimas Feridas
342702;Com Vítimas Feridas
342703;Com Vítimas Feridas
342704;Com Vítimas Feridas
342705;Com Vítimas Feridas
342706;Com Vítimas Feridas
342707;Com Vítimas Feridas
342708;Com Vítimas Fatais
342709;Com Vítimas Feridas
342710;Com Vítimas Feridas
342711;Sem Vítimas
342712;Com Vítimas Feridas
342713;Sem Vítimas
342714;Sem Vítimas
342717;Com Vítimas Feridas
342718;Com Vítimas Feridas
342719;Com Vítimas Feridas
342722;Com Vítimas Feridas
342723;Sem Vítimas
342724;Com Vítimas Feridas
342726;Com Vítimas Feridas
342727;Com Vítimas Feridas
342729;Sem Vítimas
342730;Com Vítimas Feridas
342731;Sem Vítimas
342732;Com Vítimas Fatais
342733;Com Vítimas Feridas
342734;Com Vítimas Feridas
342735;Com Vítimas Fatais
342736;Sem Vítimas
342737;Sem Vítimas
342738;Com Vítimas Feridas
342739;Com Vítimas Fatais
342740;Sem Vítimas
342741;Com Vítimas Feridas
342742;Sem Vítimas
342743;Sem Vítimas
342744;Sem Vítimas
