f_acidente;d_dataacidente
332120;02/01/2021
332121;02/01/2021
332122;02/01/2021
332123;02/01/2021
332124;02/01/2021
332125;02/01/2021
332126;02/01/2021
332127;02/01/2021
332128;02/01/2021
332129;02/01/2021
332130;02/01/2021
332131;02/01/2021
332132;02/01/2021
332133;03/01/2021
332134;02/01/2021
332135;03/01/2021
332136;03/01/2021
332138;03/01/2021
332139;03/01/2021
332140;03/01/2021
332141;03/01/2021
332142;02/01/2021
332143;02/01/2021
332144;03/01/2021
332145;02/01/2021
332147;03/01/2021
332149;03/01/2021
332150;03/01/2021
332151;03/01/2021
332152;03/01/2021
332153;03/01/2021
332155;03/01/2021
332156;03/01/2021
332158;03/01/2021
332159;02/01/2021
332161;03/01/2021
332163;02/01/2021
332165;03/01/2021
332166;03/01/2021
332167;03/01/2021
332168;03/01/2021
332169;03/01/2021
332170;03/01/2021
332171;01/01/2021
332172;03/01/2021
332173;03/01/2021
332174;03/01/2021
332177;03/01/2021
332179;03/01/2021
332181;03/01/2021
332183;03/01/2021
332184;03/01/2021
332185;03/01/2021
332186;03/01/2021
332189;03/01/2021
332190;03/01/2021
332191;03/01/2021
332192;03/01/2021
332193;03/01/2021
332194;03/01/2021
332195;03/01/2021
332196;03/01/2021
332197;03/01/2021
332198;03/01/2021
332199;03/01/2021
332200;03/01/2021
332201;03/01/2021
332202;03/01/2021
332203;03/01/2021
332204;03/01/2021
332205;03/01/2021
332206;03/01/2021
332207;03/01/2021
332208;03/01/2021
332210;03/01/2021
332211;03/01/2021
332213;03/01/2021
332214;03/01/2021
332215;03/01/2021
332216;03/01/2021
332217;03/01/2021
332218;03/01/2021
332220;03/01/2021
332221;03/01/2021
332222;03/01/2021
332223;03/01/2021
332224;03/01/2021
332225;03/01/2021
332226;03/01/2021
332227;03/01/2021
332228;03/01/2021
332229;03/01/2021
332230;03/01/2021
332232;03/01/2021
332233;03/01/2021
332235;03/01/2021
332236;03/01/2021
332237;03/01/2021
332238;03/01/2021
332239;03/01/2021
332240;03/01/2021
332242;03/01/2021
332243;03/01/2021
332244;03/01/2021
332245;03/01/2021
332247;03/01/2021
332249;03/01/2021
332250;03/01/2021
332251;03/01/2021
332252;03/01/2021
332253;03/01/2021
332254;03/01/2021
332255;03/01/2021
332256;03/01/2021
332257;03/01/2021
332258;03/01/2021
332259;03/01/2021
332260;03/01/2021
332261;03/01/2021
332262;03/01/2021
332263;03/01/2021
332264;03/01/2021
332265;03/01/2021
332266;03/01/2021
332267;03/01/2021
332268;03/01/2021
332269;03/01/2021
332270;03/01/2021
332271;03/01/2021
332273;03/01/2021
332274;03/01/2021
332275;03/01/2021
332276;03/01/2021
332277;03/01/2021
332278;03/01/2021
332279;03/01/2021
332280;03/01/2021
332281;03/01/2021
332282;03/01/2021
332283;03/01/2021
332284;03/01/2021
332285;03/01/2021
332286;03/01/2021
332287;03/01/2021
332288;03/01/2021
332289;03/01/2021
332290;03/01/2021
332291;03/01/2021
332292;03/01/2021
332293;03/01/2021
332294;03/01/2021
332295;03/01/2021
332296;03/01/2021
332297;03/01/2021
332298;03/01/2021
332299;03/01/2021
332300;03/01/2021
332301;03/01/2021
332303;03/01/2021
332304;03/01/2021
332305;03/01/2021
332306;03/01/2021
332307;03/01/2021
332308;03/01/2021
332309;03/01/2021
332311;03/01/2021
332312;03/01/2021
332313;03/01/2021
332314;03/01/2021
332315;03/01/2021
332316;03/01/2021
332317;03/01/2021
332318;03/01/2021
332320;03/01/2021
332321;03/01/2021
332322;03/01/2021
332323;03/01/2021
332324;03/01/2021
332325;03/01/2021
332326;03/01/2021
332327;03/01/2021
332328;03/01/2021
332329;03/01/2021
332330;03/01/2021
332331;03/01/2021
332332;03/01/2021
332333;03/01/2021
332335;03/01/2021
332336;03/01/2021
332337;03/01/2021
332338;03/01/2021
332339;03/01/2021
332340;03/01/2021
332341;03/01/2021
332342;03/01/2021
332343;03/01/2021
332345;03/01/2021
332346;03/01/2021
332347;03/01/2021
332349;03/01/2021
332350;03/01/2021
332352;03/01/2021
332354;03/01/2021
332355;03/01/2021
332358;03/01/2021
332359;03/01/2021
332360;03/01/2021
332362;04/01/2021
332363;03/01/2021
332364;03/01/2021
332365;03/01/2021
332367;03/01/2021
332368;04/01/2021
332369;04/01/2021
332370;04/01/2021
332371;04/01/2021
332374;04/01/2021
332376;04/01/2021
332377;04/01/2021
332378;03/01/2021
332380;04/01/2021
332381;03/01/2021
332382;04/01/2021
332383;04/01/2021
332385;04/01/2021
332386;04/01/2021
332387;03/01/2021
332388;04/01/2021
332389;04/01/2021
332390;04/01/2021
332391;04/01/2021
332393;04/01/2021
332394;04/01/2021
332395;04/01/2021
332396;04/01/2021
332397;04/01/2021
332399;04/01/2021
332400;04/01/2021
332401;04/01/2021
332403;04/01/2021
332404;03/01/2021
332405;04/01/2021
332407;04/01/2021
332408;02/01/2021
332409;04/01/2021
332410;04/01/2021
332414;04/01/2021
332415;04/01/2021
332416;04/01/2021
332417;04/01/2021
332418;04/01/2021
332419;04/01/2021
332421;04/01/2021
332422;04/01/2021
332423;03/01/2021
332424;04/01/2021
332425;04/01/2021
332426;04/01/2021
332427;04/01/2021
332428;04/01/2021
332429;04/01/2021
332430;04/01/2021
332431;04/01/2021
332432;04/01/2021
332433;02/01/2021
332434;04/01/2021
332435;03/01/2021
332436;04/01/2021
332437;04/01/2021
332438;04/01/2021
332439;04/01/2021
332440;04/01/2021
332442;04/01/2021
332443;04/01/2021
332446;04/01/2021
332447;04/01/2021
332449;04/01/2021
332450;04/01/2021
332451;04/01/2021
332452;04/01/2021
332453;04/01/2021
332454;03/01/2021
332455;04/01/2021
332457;04/01/2021
332458;04/01/2021
332459;04/01/2021
332461;04/01/2021
332463;04/01/2021
332464;04/01/2021
332465;04/01/2021
332466;04/01/2021
332467;04/01/2021
332468;04/01/2021
332469;04/01/2021
332470;04/01/2021
332471;04/01/2021
332472;04/01/2021
332473;04/01/2021
332474;04/01/2021
332475;04/01/2021
332476;04/01/2021
332477;04/01/2021
332479;04/01/2021
332480;04/01/2021
332481;04/01/2021
332482;04/01/2021
332483;04/01/2021
332484;04/01/2021
332485;04/01/2021
332486;04/01/2021
332488;04/01/2021
332490;04/01/2021
332492;04/01/2021
332495;04/01/2021
332496;04/01/2021
332497;04/01/2021
332498;04/01/2021
332499;04/01/2021
332500;04/01/2021
332501;04/01/2021
332502;04/01/2021
332503;04/01/2021
332504;04/01/2021
332505;04/01/2021
332506;04/01/2021
332507;04/01/2021
332508;04/01/2021
332509;04/01/2021
332511;04/01/2021
332512;04/01/2021
332513;04/01/2021
332514;04/01/2021
332515;04/01/2021
332516;04/01/2021
332517;04/01/2021
332518;05/01/2021
332519;04/01/2021
332521;04/01/2021
332522;05/01/2021
332523;04/01/2021
332524;05/01/2021
332526;04/01/2021
332527;05/01/2021
332528;04/01/2021
332530;04/01/2021
332531;05/01/2021
332532;05/01/2021
332534;05/01/2021
332535;05/01/2021
332536;04/01/2021
332538;05/01/2021
332539;05/01/2021
332541;05/01/2021
332543;05/01/2021
332544;05/01/2021
332546;05/01/2021
332547;05/01/2021
332548;05/01/2021
332549;05/01/2021
332550;05/01/2021
332551;05/01/2021
332552;05/01/2021
332553;05/01/2021
332555;05/01/2021
332556;05/01/2021
332558;05/01/2021
332559;04/01/2021
332560;05/01/2021
332561;05/01/2021
332562;05/01/2021
332563;05/01/2021
332564;05/01/2021
332565;05/01/2021
332566;05/01/2021
332567;05/01/2021
332568;05/01/2021
332569;05/01/2021
332570;05/01/2021
332572;05/01/2021
332573;05/01/2021
332574;05/01/2021
332575;05/01/2021
332576;05/01/2021
332580;05/01/2021
332581;05/01/2021
332582;05/01/2021
332584;05/01/2021
332585;05/01/2021
332586;05/01/2021
332587;05/01/2021
332588;05/01/2021
332589;05/01/2021
332590;02/01/2021
332591;04/01/2021
332592;05/01/2021
332593;05/01/2021
332595;05/01/2021
332597;05/01/2021
332598;05/01/2021
332601;05/01/2021
332602;05/01/2021
332604;05/01/2021
332605;05/01/2021
332606;05/01/2021
332607;05/01/2021
332608;05/01/2021
332609;05/01/2021
332610;05/01/2021
332612;05/01/2021
332613;05/01/2021
332615;05/01/2021
332616;05/01/2021
332617;05/01/2021
332618;05/01/2021
332620;05/01/2021
332621;05/01/2021
332623;05/01/2021
332624;05/01/2021
332627;05/01/2021
332629;05/01/2021
332630;05/01/2021
332631;05/01/2021
332632;05/01/2021
332634;05/01/2021
332635;05/01/2021
332636;05/01/2021
332637;05/01/2021
332638;05/01/2021
332639;05/01/2021
332640;05/01/2021
332641;05/01/2021
332642;05/01/2021
332643;05/01/2021
332644;05/01/2021
332645;05/01/2021
332646;05/01/2021
332647;05/01/2021
332648;05/01/2021
332649;05/01/2021
332651;05/01/2021
332652;05/01/2021
332653;05/01/2021
332654;05/01/2021
332655;05/01/2021
332657;05/01/2021
332658;05/01/2021
332659;05/01/2021
332661;05/01/2021
332662;05/01/2021
332663;05/01/2021
332664;05/01/2021
332665;05/01/2021
332666;05/01/2021
332668;05/01/2021
332670;05/01/2021
332671;05/01/2021
332672;05/01/2021
332673;05/01/2021
332674;05/01/2021
332676;05/01/2021
332677;05/01/2021
332678;05/01/2021
332679;05/01/2021
332680;05/01/2021
332682;06/01/2021
332683;06/01/2021
332684;06/01/2021
332685;06/01/2021
332686;06/01/2021
332687;06/01/2021
332688;06/01/2021
332689;06/01/2021
332690;06/01/2021
332691;06/01/2021
332692;06/01/2021
332693;05/01/2021
332694;06/01/2021
332695;06/01/2021
332696;06/01/2021
332697;06/01/2021
332699;06/01/2021
332700;06/01/2021
332701;06/01/2021
332703;06/01/2021
332704;06/01/2021
332705;06/01/2021
332706;06/01/2021
332707;06/01/2021
332708;06/01/2021
332710;06/01/2021
332711;06/01/2021
332716;06/01/2021
332717;06/01/2021
332718;06/01/2021
332719;06/01/2021
332720;06/01/2021
332721;06/01/2021
332722;06/01/2021
332723;06/01/2021
332724;06/01/2021
332725;06/01/2021
332726;06/01/2021
332727;06/01/2021
332728;06/01/2021
332729;06/01/2021
332730;06/01/2021
332732;06/01/2021
332734;06/01/2021
332735;06/01/2021
332737;06/01/2021
332738;06/01/2021
332739;06/01/2021
332740;06/01/2021
332741;06/01/2021
332742;06/01/2021
332744;06/01/2021
332746;06/01/2021
332747;06/01/2021
332748;06/01/2021
332749;06/01/2021
332750;06/01/2021
332751;06/01/2021
332752;06/01/2021
332754;06/01/2021
332755;06/01/2021
332756;06/01/2021
332758;06/01/2021
332759;01/01/2021
332760;06/01/2021
332762;06/01/2021
332763;06/01/2021
332765;06/01/2021
332766;06/01/2021
332768;06/01/2021
332769;06/01/2021
332770;06/01/2021
332771;06/01/2021
332772;06/01/2021
332773;06/01/2021
332774;06/01/2021
332775;06/01/2021
332776;06/01/2021
332777;02/01/2021
332778;06/01/2021
332779;06/01/2021
332780;06/01/2021
332782;06/01/2021
332783;06/01/2021
332785;06/01/2021
332786;06/01/2021
332787;06/01/2021
332788;06/01/2021
332789;06/01/2021
332790;06/01/2021
332791;06/01/2021
332792;06/01/2021
332793;06/01/2021
332796;06/01/2021
332797;06/01/2021
332798;06/01/2021
332800;06/01/2021
332801;06/01/2021
332802;06/01/2021
332803;06/01/2021
332804;06/01/2021
332805;06/01/2021
332806;06/01/2021
332807;06/01/2021
332808;06/01/2021
332810;06/01/2021
332811;06/01/2021
332812;06/01/2021
332813;06/01/2021
332815;06/01/2021
332816;06/01/2021
332818;06/01/2021
332819;06/01/2021
332820;06/01/2021
332821;06/01/2021
332823;06/01/2021
332824;06/01/2021
332825;06/01/2021
332826;06/01/2021
332827;06/01/2021
332828;06/01/2021
332829;06/01/2021
332830;06/01/2021
332831;06/01/2021
332832;06/01/2021
332833;06/01/2021
332834;06/01/2021
332836;06/01/2021
332838;06/01/2021
332839;06/01/2021
332840;06/01/2021
332841;06/01/2021
332842;06/01/2021
332843;06/01/2021
332844;06/01/2021
332846;06/01/2021
332847;06/01/2021
332848;06/01/2021
332849;06/01/2021
332851;06/01/2021
332852;06/01/2021
332853;07/01/2021
332854;07/01/2021
332855;06/01/2021
332856;06/01/2021
332857;07/01/2021
332858;07/01/2021
332859;07/01/2021
332860;07/01/2021
332861;07/01/2021
332862;07/01/2021
332863;06/01/2021
332864;07/01/2021
332866;07/01/2021
332867;07/01/2021
332868;07/01/2021
332869;07/01/2021
332870;06/01/2021
332871;06/01/2021
332872;07/01/2021
332873;07/01/2021
332874;07/01/2021
332875;07/01/2021
332876;06/01/2021
332877;07/01/2021
332878;07/01/2021
332879;07/01/2021
332880;07/01/2021
332881;07/01/2021
332883;07/01/2021
332885;07/01/2021
332887;07/01/2021
332888;07/01/2021
332889;07/01/2021
332890;07/01/2021
332891;07/01/2021
332892;07/01/2021
332893;07/01/2021
332894;07/01/2021
332895;07/01/2021
332896;07/01/2021
332900;07/01/2021
332902;07/01/2021
332905;07/01/2021
332906;07/01/2021
332908;07/01/2021
332909;07/01/2021
332911;07/01/2021
332914;07/01/2021
332916;07/01/2021
332917;07/01/2021
332918;07/01/2021
332919;07/01/2021
332920;07/01/2021
332921;07/01/2021
332922;07/01/2021
332923;07/01/2021
332924;07/01/2021
332925;07/01/2021
332927;07/01/2021
332928;07/01/2021
332929;07/01/2021
332930;07/01/2021
332931;07/01/2021
332932;07/01/2021
332933;07/01/2021
332934;07/01/2021
332936;07/01/2021
332937;07/01/2021
332938;07/01/2021
332939;07/01/2021
332940;07/01/2021
332941;07/01/2021
332942;07/01/2021
332943;07/01/2021
332946;07/01/2021
332949;07/01/2021
332953;07/01/2021
332954;07/01/2021
332955;07/01/2021
332956;07/01/2021
332957;07/01/2021
332958;07/01/2021
332959;05/01/2021
332960;07/01/2021
332963;07/01/2021
332964;07/01/2021
332965;07/01/2021
332966;07/01/2021
332967;07/01/2021
332968;07/01/2021
332969;07/01/2021
332971;07/01/2021
332972;07/01/2021
332974;07/01/2021
332976;07/01/2021
332977;07/01/2021
332978;07/01/2021
332980;07/01/2021
332981;07/01/2021
332984;07/01/2021
332985;07/01/2021
332986;07/01/2021
332987;07/01/2021
332988;07/01/2021
332989;07/01/2021
332990;07/01/2021
332991;07/01/2021
332992;07/01/2021
332993;07/01/2021
332994;07/01/2021
332995;07/01/2021
332996;07/01/2021
332997;07/01/2021
332998;07/01/2021
332999;07/01/2021
333000;07/01/2021
