f_acidente;d_tipopista
332243;Dupla
332244;Simples
332245;Dupla
332247;Simples
332249;Simples
332250;Simples
332251;Dupla
332252;Dupla
332253;Simples
332254;Simples
332255;Múltipla
332256;Simples
332257;Simples
332258;Dupla
332259;Dupla
332260;Simples
332261;Dupla
332262;Dupla
332263;Dupla
332264;Simples
332265;Múltipla
332266;Simples
332267;Múltipla
332268;Dupla
332269;Simples
332270;Simples
332271;Dupla
332273;Dupla
332274;Dupla
332275;Simples
332276;Simples
332277;Dupla
332278;Dupla
332279;Simples
332280;Simples
332281;Dupla
332282;Simples
332283;Simples
332284;Simples
332285;Dupla
332286;Dupla
332287;Dupla
332288;Simples
332289;Múltipla
332290;Dupla
332291;Dupla
332292;Múltipla
332293;Dupla
332294;Simples
332295;Dupla
332296;Simples
332297;Dupla
332298;Simples
332299;Simples
332300;Simples
332301;Simples
332303;Simples
332304;Simples
332305;Simples
332306;Dupla
332307;Simples
332308;Múltipla
332309;Simples
332311;Simples
332312;Simples
332313;Simples
332314;Dupla
332315;Simples
332316;Simples
332317;Simples
332318;Múltipla
332320;Simples
332321;Simples
332322;Simples
332323;Simples
332324;Simples
332325;Simples
332326;Dupla
332327;Dupla
332328;Simples
332329;Dupla
332330;Dupla
332331;Simples
332332;Simples
332333;Simples
332335;Simples
332336;Dupla
332337;Simples
332338;Simples
332339;Simples
332340;Dupla
332341;Dupla
332342;Múltipla
332343;Simples
332345;Simples
332346;Dupla
332347;Simples
332349;Múltipla
332350;Dupla
332352;Simples
332354;Dupla
332355;Dupla
332358;Simples
332359;Dupla
332360;Simples
332362;Dupla
332363;Dupla
332364;Simples
332365;Simples
332367;Dupla
332368;Dupla
332369;Múltipla
332370;Dupla
332371;Simples
332374;Dupla
332376;Simples
332377;Simples
332378;Simples
332380;Dupla
332381;Simples
332382;Simples
332383;Simples
332385;Simples
332386;Simples
332387;Simples
332388;Dupla
332389;Dupla
332390;Dupla
332391;Dupla
332393;Dupla
332394;Dupla
332395;Simples
332396;Dupla
332397;Múltipla
332399;Simples
332400;Dupla
332401;Dupla
332403;Dupla
332404;Simples
332405;Múltipla
332407;Simples
332408;Múltipla
332409;Dupla
332410;Simples
332414;Dupla
332415;Simples
332416;Dupla
332417;Simples
332418;Dupla
332419;Simples
332421;Simples
332422;Dupla
332423;Dupla
332424;Simples
332425;Dupla
332426;Dupla
332427;Dupla
332428;Dupla
332429;Dupla
332430;Simples
332431;Dupla
332432;Dupla
332433;Dupla
332434;Dupla
332435;Simples
332436;Dupla
332437;Dupla
332438;Simples
332439;Dupla
332440;Dupla
332442;Simples
332443;Múltipla
332446;Simples
332447;Dupla
332449;Múltipla
332450;Simples
332451;Dupla
332452;Dupla
332453;Simples
332454;Simples
332455;Dupla
332457;Simples
332458;Simples
332459;Simples
332461;Dupla
332463;Simples
332464;Dupla
332465;Simples
332466;Dupla
332467;Simples
332468;Dupla
332469;Dupla
332470;Dupla
332471;Dupla
332472;Simples
332473;Simples
332474;Dupla
332475;Dupla
332476;Simples
332477;Dupla
332479;Simples
332480;Dupla
332481;Simples
332482;Simples
332483;Dupla
332484;Dupla
332485;Simples
332486;Simples
332488;Simples
332490;Simples
332492;Simples
332495;Simples
332496;Simples
332497;Simples
332498;Múltipla
332499;Simples
332500;Múltipla
332501;Dupla
332502;Dupla
332503;Dupla
332504;Dupla
332505;Múltipla
332506;Dupla
332507;Simples
332508;Dupla
332509;Simples
332511;Dupla
332512;Dupla
332513;Múltipla
332514;Dupla
332515;Simples
332516;Simples
332517;Simples
332518;Múltipla
332519;Simples
332521;Dupla
332522;Dupla
332523;Simples
332524;Dupla
332526;Dupla
332527;Dupla
332528;Simples
332530;Simples
332531;Simples
332532;Simples
332534;Simples
332535;Dupla
332536;Simples
332538;Simples
332539;Simples
332541;Dupla
332543;Simples
332544;Dupla
332546;Simples
332547;Simples
332548;Simples
332549;Dupla
332550;Múltipla
332551;Dupla
332552;Dupla
332553;Simples
332555;Dupla
332556;Múltipla
332558;Simples
332559;Simples
332560;Simples
332561;Simples
332562;Dupla
332563;Simples
332564;Dupla
332565;Simples
332566;Simples
332567;Simples
332568;Simples
332569;Dupla
332570;Dupla
332572;Simples
332573;Dupla
332574;Dupla
332575;Dupla
332576;Simples
332580;Simples
332581;Dupla
332582;Dupla
332584;Dupla
332585;Múltipla
332586;Simples
332587;Simples
332588;Dupla
332589;Dupla
332590;Simples
332591;Simples
332592;Simples
332593;Simples
332595;Dupla
332597;Simples
332598;Dupla
332601;Simples
332602;Dupla
332604;Dupla
332605;Dupla
332606;Múltipla
332607;Dupla
332608;Dupla
332609;Dupla
332610;Dupla
332612;Dupla
332613;Dupla
332615;Múltipla
332616;Simples
332617;Simples
332618;Simples
332620;Simples
332621;Simples
332623;Simples
332624;Dupla
332627;Simples
332629;Dupla
332630;Simples
332631;Dupla
332632;Simples
332634;Múltipla
332635;Simples
332636;Dupla
332637;Dupla
332638;Simples
332639;Múltipla
332640;Múltipla
332641;Múltipla
332642;Simples
332643;Simples
332644;Dupla
332645;Simples
332646;Simples
332647;Dupla
332648;Dupla
332649;Simples
332651;Simples
332652;Simples
332653;Simples
332654;Simples
332655;Dupla
332657;Dupla
332658;Dupla
332659;Simples
332661;Simples
332662;Simples
332663;Simples
332664;Dupla
332665;Simples
332666;Simples
332668;Dupla
332670;Simples
332671;Simples
332672;Múltipla
332673;Dupla
332674;Dupla
332676;Simples
