f_acidente;d_horario
332163;22:00:00
332165;08:35:00
332166;09:00:00
332167;06:50:00
332168;09:10:00
332169;09:00:00
332170;08:10:00
332171;06:20:00
332172;09:15:00
332173;09:30:00
332174;07:00:00
332177;09:01:00
332179;09:50:00
332181;09:15:00
332183;09:00:00
332184;09:40:00
332185;10:15:00
332186;10:45:00
332189;09:00:00
332190;11:20:00
332191;11:30:00
332192;10:35:00
332193;10:45:00
332194;10:30:00
332195;09:10:00
332196;09:50:00
332197;10:50:00
332198;12:00:00
332199;06:30:00
332200;11:20:00
332201;12:00:00
332202;10:00:00
332203;12:00:00
332204;11:30:00
332205;11:50:00
332206;07:15:00
332207;12:15:00
332208;12:00:00
332210;12:30:00
332211;12:50:00
332213;10:06:00
332214;13:15:00
332215;12:45:00
332216;11:30:00
332217;12:00:00
332218;08:45:00
332220;12:20:00
332221;13:20:00
332222;06:30:00
332223;12:20:00
332224;13:50:00
332225;14:20:00
332226;14:00:00
332227;03:20:00
332228;14:20:00
332229;14:40:00
332230;14:00:00
332232;14:45:00
332233;14:30:00
332235;14:30:00
332236;14:15:00
332237;14:50:00
332238;09:25:00
332239;15:00:00
332240;15:05:00
332242;15:40:00
332243;15:05:00
332244;15:00:00
332245;15:40:00
332247;14:30:00
332249;12:30:00
332250;12:00:00
332251;14:58:00
332252;15:50:00
332253;15:07:00
332254;16:05:00
332255;16:20:00
332256;15:50:00
332257;15:30:00
332258;16:20:00
332259;13:30:00
332260;15:50:00
332261;16:15:00
332262;16:40:00
332263;16:20:00
332264;14:15:00
332265;14:50:00
332266;16:55:00
332267;16:50:00
332268;16:55:00
332269;15:34:00
332270;16:30:00
332271;17:15:00
332273;16:50:00
332274;15:50:00
332275;16:25:00
332276;15:55:00
332277;17:00:00
332278;17:30:00
332279;16:30:00
332280;17:40:00
332281;17:50:00
332282;17:40:00
332283;17:10:00
332284;15:50:00
332285;17:50:00
332286;18:00:00
332287;17:00:00
332288;18:00:00
332289;18:10:00
332290;18:00:00
332291;18:20:00
332292;18:30:00
332293;18:25:00
332294;18:00:00
332295;16:30:00
332296;15:55:00
332297;16:30:00
332298;18:25:00
332299;08:30:00
332300;15:25:00
332301;18:50:00
332303;13:30:00
332304;19:20:00
332305;15:00:00
332306;18:10:00
332307;19:20:00
332308;18:30:00
332309;17:14:00
332311;19:12:00
332312;17:20:00
332313;19:30:00
332314;19:58:00
332315;18:50:00
332316;16:55:00
332317;19:45:00
332318;19:20:00
332320;18:40:00
332321;17:30:00
332322;18:30:00
332323;17:40:00
332324;19:50:00
332325;17:00:00
332326;20:20:00
332327;20:00:00
332328;17:00:00
332329;20:20:00
332330;17:50:00
332331;20:40:00
332332;21:00:00
332333;19:45:00
332335;20:21:00
332336;20:30:00
332337;20:00:00
332338;18:30:00
332339;17:50:00
332340;21:15:00
332341;21:30:00
332342;21:45:00
332343;21:20:00
332345;22:05:00
332346;21:55:00
332347;20:50:00
332349;20:25:00
332350;17:30:00
332352;20:10:00
332354;21:30:00
332355;20:25:00
332358;23:10:00
332359;23:15:00
332360;21:00:00
332362;00:05:00
332363;23:10:00
332364;22:30:00
332365;23:20:00
332367;09:50:00
332368;01:00:00
332369;01:55:00
332370;02:10:00
332371;03:00:00
332374;04:30:00
332376;06:00:00
332377;00:30:00
332378;20:50:00
332380;06:20:00
332381;18:30:00
332382;06:45:00
332383;04:40:00
332385;07:15:00
332386;07:10:00
332387;16:50:00
332388;07:25:00
332389;07:40:00
332390;08:05:00
332391;08:00:00
332393;08:00:00
332394;08:15:00
332395;07:00:00
332396;08:05:00
332397;07:25:00
332399;08:10:00
332400;08:00:00
332401;07:40:00
332403;09:10:00
332404;12:00:00
332405;09:40:00
332407;05:30:00
332408;06:50:00
332409;09:00:00
332410;09:20:00
332414;10:30:00
332415;09:15:00
332416;06:40:00
332417;10:30:00
332418;09:38:00
332419;10:00:00
332421;10:35:00
332422;10:50:00
332423;21:40:00
332424;12:30:00
332425;12:00:00
332426;11:00:00
332427;11:30:00
332428;12:20:00
332429;12:20:00
332430;11:50:00
332431;12:50:00
332432;12:42:00
332433;04:30:00
332434;11:40:00
332435;22:50:00
332436;12:15:00
332437;11:50:00
332438;13:30:00
332439;11:00:00
332440;13:50:00
332442;10:20:00
332443;13:45:00
332446;14:00:00
332447;14:05:00
332449;14:45:00
332450;14:40:00
332451;14:40:00
332452;12:50:00
332453;11:00:00
332454;00:20:00
332455;14:40:00
332457;14:10:00
332458;13:55:00
332459;15:30:00
332461;15:00:00
332463;14:35:00
332464;16:20:00
332465;15:50:00
332466;15:45:00
332467;16:15:00
332468;16:10:00
332469;16:20:00
332470;13:35:00
332471;15:10:00
332472;15:40:00
332473;16:00:00
332474;16:45:00
332475;15:55:00
332476;17:00:00
332477;17:00:00
332479;17:15:00
332480;17:40:00
332481;17:44:00
332482;14:15:00
332483;16:30:00
332484;18:30:00
332485;18:20:00
332486;15:15:00
332488;17:55:00
332490;17:45:00
332492;17:30:00
332495;16:00:00
332496;19:00:00
332497;15:50:00
332498;20:00:00
332499;13:55:00
332500;18:00:00
332501;17:00:00
332502;20:10:00
332503;20:25:00
332504;19:20:00
332505;18:45:00
