f_acidente;d_fasedia
332120;Plena Noite
332121;Plena Noite
332122;Plena Noite
332123;Amanhecer
332124;Plena Noite
332125;Plena Noite
332126;Plena Noite
332127;Plena Noite
332128;Pleno dia
332129;Plena Noite
332130;Pleno dia
332131;Plena Noite
332132;Plena Noite
332133;Plena Noite
332134;Plena Noite
332135;Plena Noite
332136;Plena Noite
332138;Plena Noite
332139;Plena Noite
332140;Plena Noite
332141;Plena Noite
332142;Pleno dia
332143;Pleno dia
332144;Plena Noite
332145;Plena Noite
332147;Plena Noite
332149;Plena Noite
332150;Plena Noite
332151;Amanhecer
332152;Plena Noite
332153;Pleno dia
332155;Pleno dia
332156;Amanhecer
332158;Pleno dia
332159;Plena Noite
332161;Amanhecer
332163;Plena Noite
332165;Pleno dia
332166;Pleno dia
332167;Pleno dia
332168;Pleno dia
332169;Pleno dia
332170;Pleno dia
332171;Amanhecer
332172;Pleno dia
332173;Pleno dia
332174;Pleno dia
332177;Pleno dia
332179;Pleno dia
332181;Pleno dia
332183;Pleno dia
332184;Pleno dia
332185;Pleno dia
332186;Pleno dia
332189;Pleno dia
332190;Pleno dia
332191;Pleno dia
332192;Pleno dia
332193;Pleno dia
332194;Pleno dia
332195;Pleno dia
332196;Pleno dia
332197;Pleno dia
332198;Pleno dia
332199;Amanhecer
332200;Pleno dia
332201;Pleno dia
332202;Pleno dia
332203;Pleno dia
332204;Pleno dia
332205;Pleno dia
332206;Pleno dia
332207;Pleno dia
332208;Pleno dia
332210;Pleno dia
332211;Pleno dia
332213;Pleno dia
332214;Pleno dia
332215;Pleno dia
332216;Pleno dia
332217;Pleno dia
332218;Pleno dia
332220;Pleno dia
332221;Pleno dia
332222;Pleno dia
332223;Pleno dia
332224;Pleno dia
332225;Pleno dia
332226;Pleno dia
332227;Plena Noite
332228;Pleno dia
332229;Pleno dia
332230;Pleno dia
332232;Pleno dia
332233;Pleno dia
332235;Pleno dia
332236;Pleno dia
332237;Pleno dia
332238;Pleno dia
332239;Pleno dia
332240;Pleno dia
332242;Pleno dia
332243;Pleno dia
332244;Pleno dia
332245;Pleno dia
332247;Pleno dia
332249;Pleno dia
332250;Pleno dia
332251;Pleno dia
332252;Pleno dia
332253;Pleno dia
332254;Pleno dia
332255;Pleno dia
332256;Pleno dia
332257;Pleno dia
332258;Anoitecer
332259;Pleno dia
332260;Pleno dia
332261;Pleno dia
332262;Pleno dia
332263;Pleno dia
332264;Pleno dia
332265;Pleno dia
332266;Pleno dia
332267;Pleno dia
332268;Pleno dia
332269;Pleno dia
332270;Pleno dia
332271;Pleno dia
332273;Pleno dia
332274;Pleno dia
332275;Pleno dia
332276;Pleno dia
332277;Pleno dia
332278;Pleno dia
332279;Pleno dia
332280;Anoitecer
332281;Anoitecer
332282;Plena Noite
332283;Pleno dia
332284;Pleno dia
332285;Anoitecer
332286;Pleno dia
332287;Pleno dia
332288;Anoitecer
332289;Anoitecer
332290;Anoitecer
332291;Anoitecer
332292;Anoitecer
332293;Pleno dia
332294;Pleno dia
332295;Pleno dia
332296;Pleno dia
332297;Pleno dia
332298;Pleno dia
332299;Pleno dia
332300;Pleno dia
332301;Plena Noite
332303;Pleno dia
332304;Plena Noite
332305;Pleno dia
332306;Anoitecer
332307;Plena Noite
332308;Plena Noite
332309;Pleno dia
332311;Plena Noite
332312;Anoitecer
332313;Plena Noite
332314;Plena Noite
332315;Pleno dia
332316;Pleno dia
332317;Plena Noite
332318;Anoitecer
332320;Pleno dia
332321;Anoitecer
332322;Plena Noite
332323;Pleno dia
332324;Plena Noite
332325;Pleno dia
332326;Plena Noite
332327;Plena Noite
332328;Anoitecer
332329;Plena Noite
332330;Pleno dia
332331;Plena Noite
332332;Plena Noite
332333;Plena Noite
332335;Plena Noite
332336;Plena Noite
332337;Plena Noite
332338;Anoitecer
332339;Anoitecer
332340;Plena Noite
332341;Plena Noite
332342;Plena Noite
332343;Plena Noite
332345;Plena Noite
332346;Plena Noite
332347;Plena Noite
332349;Plena Noite
332350;Pleno dia
332352;Plena Noite
332354;Plena Noite
332355;Plena Noite
332358;Plena Noite
332359;Plena Noite
332360;Plena Noite
332362;Plena Noite
332363;Plena Noite
332364;Plena Noite
332365;Plena Noite
332367;Plena Noite
332368;Plena Noite
332369;Plena Noite
332370;Plena Noite
332371;Plena Noite
332374;Amanhecer
332376;Amanhecer
332377;Plena Noite
332378;Plena Noite
332380;Amanhecer
332381;Anoitecer
332382;Pleno dia
332383;Amanhecer
332385;Pleno dia
332386;Pleno dia
332387;Anoitecer
332388;Pleno dia
332389;Pleno dia
332390;Pleno dia
332391;Pleno dia
332393;Pleno dia
332394;Pleno dia
332395;Amanhecer
332396;Pleno dia
332397;Pleno dia
332399;Pleno dia
332400;Pleno dia
332401;Pleno dia
332403;Pleno dia
332404;Pleno dia
332405;Pleno dia
332407;Amanhecer
332408;Pleno dia
332409;Pleno dia
332410;Pleno dia
332414;Pleno dia
332415;Pleno dia
332416;Pleno dia
332417;Pleno dia
332418;Pleno dia
332419;Pleno dia
332421;Pleno dia
332422;Pleno dia
332423;Plena Noite
