f_acidente;d_fasedia
349144;Pleno dia
349145;Plena Noite
349147;Pleno dia
349148;Amanhecer
349149;Pleno dia
349150;Pleno dia
349151;Pleno dia
349152;Pleno dia
349153;Pleno dia
349154;Pleno dia
349155;Pleno dia
349156;Anoitecer
349157;Plena Noite
349159;Pleno dia
349160;Plena Noite
349162;Pleno dia
349163;Plena Noite
349164;Pleno dia
349165;Pleno dia
349166;Pleno dia
349167;Pleno dia
349169;Pleno dia
349170;Pleno dia
349171;Pleno dia
349173;Pleno dia
349174;Pleno dia
349175;Pleno dia
349176;Pleno dia
349178;Pleno dia
349179;Pleno dia
349180;Pleno dia
349181;Pleno dia
349182;Pleno dia
349185;Pleno dia
349186;Pleno dia
349187;Pleno dia
349188;Pleno dia
349189;Pleno dia
349190;Pleno dia
349191;Pleno dia
349192;Pleno dia
349193;Pleno dia
349194;Pleno dia
349195;Pleno dia
349196;Pleno dia
349197;Pleno dia
349199;Pleno dia
349200;Pleno dia
349201;Pleno dia
349202;Pleno dia
349203;Anoitecer
349204;Pleno dia
349205;Pleno dia
349206;Pleno dia
349207;Pleno dia
349208;Anoitecer
349209;Plena Noite
349211;Pleno dia
349212;Anoitecer
349213;Pleno dia
349214;Anoitecer
349215;Pleno dia
349216;Anoitecer
349217;Pleno dia
349220;Plena Noite
349221;Plena Noite
349222;Anoitecer
349223;Pleno dia
349224;Anoitecer
349225;Plena Noite
349226;Pleno dia
349227;Plena Noite
349228;Plena Noite
349229;Plena Noite
349230;Plena Noite
349231;Pleno dia
349232;Plena Noite
349233;Plena Noite
349234;Plena Noite
349235;Plena Noite
349236;Plena Noite
349237;Anoitecer
349238;Plena Noite
349239;Plena Noite
349240;Plena Noite
349241;Plena Noite
349244;Plena Noite
349245;Plena Noite
349247;Plena Noite
349249;Plena Noite
349250;Anoitecer
349251;Plena Noite
349253;Plena Noite
349254;Plena Noite
349255;Plena Noite
349256;Plena Noite
349257;Plena Noite
349258;Plena Noite
349260;Plena Noite
349261;Anoitecer
349262;Plena Noite
349263;Plena Noite
349264;Plena Noite
349266;Plena Noite
349267;Plena Noite
349268;Anoitecer
349269;Plena Noite
349271;Plena Noite
349272;Plena Noite
349273;Plena Noite
349274;Plena Noite
349276;Pleno dia
349277;Plena Noite
349278;Plena Noite
349279;Plena Noite
349280;Plena Noite
349281;Anoitecer
349282;Plena Noite
349283;Plena Noite
349284;Plena Noite
349285;Plena Noite
349286;Plena Noite
349287;Pleno dia
349288;Amanhecer
349289;Plena Noite
349290;Amanhecer
349292;Amanhecer
349293;Pleno dia
349294;Plena Noite
349295;Amanhecer
349297;Pleno dia
349298;Plena Noite
349299;Pleno dia
349301;Pleno dia
349302;Pleno dia
349304;Pleno dia
349306;Plena Noite
349307;Amanhecer
349308;Pleno dia
349309;Pleno dia
349310;Pleno dia
349311;Pleno dia
349312;Pleno dia
349313;Pleno dia
349314;Pleno dia
349315;Pleno dia
349316;Pleno dia
349317;Pleno dia
349318;Pleno dia
349319;Amanhecer
349323;Pleno dia
349324;Pleno dia
349325;Pleno dia
349326;Plena Noite
349327;Pleno dia
349328;Pleno dia
349329;Pleno dia
349330;Pleno dia
349331;Pleno dia
349332;Pleno dia
349335;Pleno dia
349336;Pleno dia
349337;Pleno dia
349338;Pleno dia
349339;Pleno dia
349340;Pleno dia
349342;Pleno dia
349343;Pleno dia
349344;Pleno dia
349345;Plena Noite
349346;Pleno dia
349347;Pleno dia
349348;Pleno dia
349349;Pleno dia
349350;Pleno dia
349351;Pleno dia
349353;Pleno dia
349354;Pleno dia
349355;Pleno dia
349356;Pleno dia
349357;Pleno dia
349358;Pleno dia
349359;Pleno dia
349360;Pleno dia
349361;Pleno dia
349362;Amanhecer
349363;Pleno dia
349365;Pleno dia
349366;Pleno dia
349367;Pleno dia
349368;Pleno dia
349370;Plena Noite
349371;Pleno dia
349372;Pleno dia
349373;Pleno dia
349374;Pleno dia
349375;Pleno dia
349376;Pleno dia
349377;Pleno dia
349379;Pleno dia
349380;Pleno dia
349381;Pleno dia
349383;Pleno dia
349385;Pleno dia
349386;Pleno dia
349387;Pleno dia
349388;Pleno dia
349389;Pleno dia
349390;Pleno dia
349391;Pleno dia
349392;Pleno dia
349393;Pleno dia
349394;Pleno dia
349395;Pleno dia
349396;Pleno dia
349398;Pleno dia
349399;Pleno dia
349400;Pleno dia
349401;Pleno dia
349402;Pleno dia
349403;Pleno dia
349404;Pleno dia
349405;Anoitecer
349406;Pleno dia
349407;Pleno dia
349408;Anoitecer
349409;Plena Noite
349410;Anoitecer
349411;Anoitecer
349412;Pleno dia
349413;Anoitecer
349414;Pleno dia
349415;Pleno dia
349416;Plena Noite
349417;Anoitecer
349418;Pleno dia
349419;Anoitecer
349420;Pleno dia
349421;Anoitecer
349422;Plena Noite
349423;Plena Noite
349424;Plena Noite
349425;Plena Noite
349426;Plena Noite
349427;Pleno dia
349428;Anoitecer
349429;Plena Noite
349430;Plena Noite
349432;Plena Noite
349433;Plena Noite
349434;Anoitecer
349435;Anoitecer
349436;Plena Noite
349438;Plena Noite
349440;Pleno dia
349441;Plena Noite
349442;Plena Noite
349443;Pleno dia
349444;Plena Noite
349446;Plena Noite
349447;Plena Noite
349448;Plena Noite
349449;Plena Noite
349451;Plena Noite
349452;Pleno dia
349453;Plena Noite
349454;Plena Noite
349455;Amanhecer
349456;Plena Noite
349457;Plena Noite
349458;Plena Noite
349459;Plena Noite
349461;Plena Noite
349462;Plena Noite
349464;Anoitecer
349465;Anoitecer
349466;Pleno dia
349467;Plena Noite
349468;Plena Noite
349470;Pleno dia
349472;Plena Noite
349473;Pleno dia
349474;Plena Noite
349475;Pleno dia
349476;Plena Noite
349477;Plena Noite
349478;Pleno dia
349479;Plena Noite
349480;Plena Noite
349481;Plena Noite
349482;Plena Noite
349483;Plena Noite
349484;Plena Noite
349485;Plena Noite
349486;Plena Noite
349489;Plena Noite
349490;Plena Noite
349491;Plena Noite
349492;Plena Noite
349493;Pleno dia
349494;Plena Noite
349496;Pleno dia
349498;Plena Noite
349499;Plena Noite
349500;Plena Noite
349501;Plena Noite
349502;Plena Noite
349503;Plena Noite
349504;Plena Noite
349505;Plena Noite
349506;Plena Noite
349507;Plena Noite
349508;Plena Noite
349510;Plena Noite
349511;Plena Noite
349512;Plena Noite
349513;Plena Noite
349514;Plena Noite
349515;Plena Noite
349516;Plena Noite
349517;Plena Noite
349518;Plena Noite
349519;Amanhecer
349520;Amanhecer
349521;Plena Noite
349522;Pleno dia
349523;Pleno dia
349524;Pleno dia
349527;Amanhecer
349528;Pleno dia
349529;Amanhecer
349530;Amanhecer
349531;Pleno dia
349532;Pleno dia
349533;Pleno dia
349534;Pleno dia
349535;Pleno dia
349536;Pleno dia
349537;Pleno dia
349538;Pleno dia
349539;Pleno dia
349541;Pleno dia
349542;Pleno dia
349543;Amanhecer
349544;Pleno dia
349545;Pleno dia
349546;Plena Noite
349547;Pleno dia
349548;Pleno dia
349549;Pleno dia
349551;Pleno dia
349552;Pleno dia
349553;Pleno dia
349554;Pleno dia
349555;Pleno dia
349556;Pleno dia
349557;Pleno dia
349558;Pleno dia
349559;Pleno dia
349560;Pleno dia
349561;Pleno dia
349562;Pleno dia
349563;Pleno dia
349564;Pleno dia
349565;Pleno dia
349566;Pleno dia
349568;Pleno dia
349569;Pleno dia
349570;Pleno dia
349571;Pleno dia
349572;Pleno dia
349573;Pleno dia
349574;Pleno dia
349575;Pleno dia
349576;Pleno dia
349577;Pleno dia
349578;Pleno dia
349579;Pleno dia
349580;Pleno dia
349581;Pleno dia
349582;Pleno dia
349583;Pleno dia
349584;Pleno dia
349585;Pleno dia
349586;Pleno dia
349587;Pleno dia
349588;Pleno dia
349589;Pleno dia
349590;Pleno dia
349591;Pleno dia
349592;Pleno dia
349595;Pleno dia
349597;Pleno dia
349598;Pleno dia
349599;Anoitecer
349600;Pleno dia
349601;Pleno dia
349602;Anoitecer
349604;Pleno dia
349605;Plena Noite
349606;Pleno dia
349607;Pleno dia
349608;Anoitecer
349609;Plena Noite
349610;Pleno dia
349611;Plena Noite
349613;Pleno dia
349614;Plena Noite
349615;Anoitecer
349616;Plena Noite
349617;Plena Noite
349618;Plena Noite
349620;Pleno dia
349621;Plena Noite
349622;Plena Noite
349623;Plena Noite
349624;Plena Noite
349625;Plena Noite
349626;Plena Noite
349629;Plena Noite
349630;Plena Noite
349632;Pleno dia
349633;Plena Noite
349634;Anoitecer
349635;Plena Noite
349636;Plena Noite
349637;Plena Noite
349638;Plena Noite
349639;Plena Noite
349640;Plena Noite
349641;Plena Noite
349642;Plena Noite
349643;Plena Noite
349644;Anoitecer
349645;Anoitecer
349647;Plena Noite
349648;Plena Noite
349649;Plena Noite
349651;Plena Noite
349652;Amanhecer
349653;Pleno dia
349655;Amanhecer
349656;Amanhecer
349658;Pleno dia
349659;Plena Noite
349660;Plena Noite
349661;Amanhecer
349662;Pleno dia
349663;Pleno dia
349664;Pleno dia
349665;Pleno dia
349666;Pleno dia
349667;Pleno dia
349668;Pleno dia
349669;Pleno dia
349670;Pleno dia
349671;Pleno dia
349672;Pleno dia
349673;Pleno dia
349674;Pleno dia
349675;Pleno dia
349676;Pleno dia
349677;Pleno dia
349678;Pleno dia
349679;Pleno dia
349680;Pleno dia
349681;Pleno dia
349682;Pleno dia
349683;Pleno dia
349684;Pleno dia
349685;Pleno dia
349686;Pleno dia
349687;Pleno dia
349688;Pleno dia
349690;Pleno dia
349692;Pleno dia
349693;Pleno dia
349694;Pleno dia
349695;Pleno dia
349696;Pleno dia
349698;Pleno dia
349699;Pleno dia
349701;Pleno dia
349702;Pleno dia
349703;Pleno dia
349704;Pleno dia
349705;Pleno dia
349706;Pleno dia
349707;Pleno dia
349709;Pleno dia
349710;Pleno dia
349711;Pleno dia
349712;Pleno dia
349714;Pleno dia
349715;Pleno dia
349716;Pleno dia
349717;Pleno dia
349718;Pleno dia
349719;Pleno dia
349720;Pleno dia
349722;Pleno dia
349723;Pleno dia
349724;Pleno dia
349725;Pleno dia
349726;Pleno dia
349729;Pleno dia
349730;Pleno dia
349731;Pleno dia
349732;Pleno dia
349735;Pleno dia
349736;Pleno dia
349737;Pleno dia
349738;Anoitecer
349739;Anoitecer
349740;Pleno dia
349741;Pleno dia
349743;Anoitecer
349744;Pleno dia
349745;Amanhecer
349747;Anoitecer
349748;Plena Noite
349750;Plena Noite
349751;Plena Noite
349752;Anoitecer
349753;Anoitecer
349754;Plena Noite
349755;Plena Noite
349756;Plena Noite
349757;Plena Noite
349758;Plena Noite
349759;Plena Noite
349760;Plena Noite
349761;Plena Noite
349762;Anoitecer
349763;Pleno dia
349764;Plena Noite
349765;Plena Noite
349766;Plena Noite
349767;Plena Noite
349768;Pleno dia
349769;Plena Noite
349770;Plena Noite
349771;Plena Noite
349772;Plena Noite
349773;Plena Noite
349774;Plena Noite
349775;Plena Noite
349776;Plena Noite
349777;Anoitecer
349779;Plena Noite
349780;Pleno dia
349781;Plena Noite
349783;Plena Noite
349784;Plena Noite
349785;Plena Noite
349786;Pleno dia
349787;Plena Noite
349788;Plena Noite
349789;Pleno dia
349790;Plena Noite
349791;Pleno dia
349793;Pleno dia
349794;Plena Noite
349795;Plena Noite
349796;Plena Noite
349797;Plena Noite
349798;Plena Noite
349799;Plena Noite
349800;Plena Noite
349801;Plena Noite
349802;Plena Noite
349803;Plena Noite
349804;Plena Noite
349806;Plena Noite
349807;Plena Noite
349809;Plena Noite
349810;Plena Noite
349812;Plena Noite
349813;Plena Noite
349814;Plena Noite
349815;Plena Noite
349816;Plena Noite
349817;Plena Noite
349818;Plena Noite
349819;Plena Noite
349820;Plena Noite
349821;Plena Noite
349822;Plena Noite
349823;Amanhecer
349824;Plena Noite
349825;Amanhecer
349826;Pleno dia
349827;Plena Noite
349828;Amanhecer
349829;Amanhecer
349830;Pleno dia
349831;Pleno dia
349832;Amanhecer
349833;Pleno dia
349835;Pleno dia
349836;Pleno dia
349838;Pleno dia
349839;Pleno dia
349840;Pleno dia
349841;Pleno dia
349842;Pleno dia
349843;Pleno dia
349844;Pleno dia
349845;Pleno dia
349846;Pleno dia
349847;Pleno dia
349849;Amanhecer
349850;Pleno dia
349851;Pleno dia
349852;Pleno dia
349854;Pleno dia
349855;Pleno dia
349857;Pleno dia
349858;Pleno dia
349859;Pleno dia
349860;Pleno dia
349861;Pleno dia
349862;Pleno dia
349863;Pleno dia
349864;Pleno dia
349865;Pleno dia
349866;Pleno dia
349867;Pleno dia
349868;Pleno dia
349869;Pleno dia
349870;Pleno dia
349871;Pleno dia
349872;Pleno dia
349873;Pleno dia
349874;Pleno dia
349875;Pleno dia
349876;Pleno dia
349877;Pleno dia
349878;Pleno dia
349879;Pleno dia
349880;Pleno dia
349881;Pleno dia
349882;Pleno dia
349883;Pleno dia
349884;Pleno dia
349886;Pleno dia
349887;Pleno dia
349888;Plena Noite
349890;Anoitecer
349892;Pleno dia
349893;Pleno dia
349894;Pleno dia
349895;Pleno dia
349896;Pleno dia
349897;Pleno dia
349898;Pleno dia
349899;Pleno dia
349901;Anoitecer
349902;Pleno dia
349903;Pleno dia
349904;Pleno dia
349905;Pleno dia
349906;Pleno dia
349907;Pleno dia
349908;Pleno dia
349910;Pleno dia
349911;Pleno dia
349912;Pleno dia
349913;Anoitecer
349914;Pleno dia
349915;Anoitecer
349916;Plena Noite
349917;Plena Noite
349918;Pleno dia
349921;Pleno dia
349922;Plena Noite
349923;Pleno dia
349924;Pleno dia
349925;Plena Noite
349926;Plena Noite
349927;Anoitecer
349928;Plena Noite
349929;Plena Noite
349930;Plena Noite
349931;Plena Noite
349932;Pleno dia
349933;Pleno dia
349934;Plena Noite
349935;Plena Noite
349936;Plena Noite
349937;Plena Noite
349938;Plena Noite
349939;Anoitecer
349940;Plena Noite
349941;Pleno dia
349942;Plena Noite
349943;Plena Noite
349944;Pleno dia
349945;Pleno dia
349946;Plena Noite
349947;Plena Noite
349948;Pleno dia
349949;Plena Noite
349950;Anoitecer
349951;Pleno dia
349952;Plena Noite
349953;Plena Noite
349956;Plena Noite
349957;Plena Noite
349958;Plena Noite
349959;Pleno dia
349961;Plena Noite
349962;Plena Noite
349963;Plena Noite
349964;Plena Noite
349965;Plena Noite
349966;Plena Noite
349967;Anoitecer
349969;Plena Noite
349970;Anoitecer
349971;Plena Noite
349972;Plena Noite
349973;Plena Noite
349974;Plena Noite
349975;Plena Noite
349976;Plena Noite
349977;Plena Noite
349978;Plena Noite
349979;Plena Noite
349980;Plena Noite
349981;Plena Noite
349982;Plena Noite
349983;Plena Noite
349984;Plena Noite
349985;Plena Noite
349986;Plena Noite
349987;Plena Noite
349988;Plena Noite
349989;Plena Noite
349990;Plena Noite
349991;Plena Noite
349992;Plena Noite
349993;Plena Noite
349994;Plena Noite
349995;Anoitecer
349996;Plena Noite
349998;Plena Noite
349999;Plena Noite
350000;Plena Noite
350001;Plena Noite
350002;Plena Noite
350004;Amanhecer
350006;Plena Noite
350007;Amanhecer
350008;Pleno dia
350009;Pleno dia
350010;Pleno dia
350011;Pleno dia
350012;Pleno dia
350013;Pleno dia
350014;Pleno dia
350015;Pleno dia
350017;Plena Noite
350019;Pleno dia
350020;Pleno dia
350021;Pleno dia
350022;Pleno dia
350024;Amanhecer
350025;Pleno dia
350026;Pleno dia
350027;Pleno dia
350028;Pleno dia
350029;Pleno dia
350030;Pleno dia
350031;Pleno dia
350032;Pleno dia
350033;Pleno dia
350034;Pleno dia
350035;Pleno dia
350036;Pleno dia
350038;Pleno dia
350039;Pleno dia
350041;Pleno dia
350042;Pleno dia
350043;Pleno dia
350044;Pleno dia
350045;Pleno dia
350046;Pleno dia
350047;Pleno dia
350048;Pleno dia
350049;Plena Noite
350051;Pleno dia
350052;Pleno dia
350053;Pleno dia
350054;Pleno dia
350055;Pleno dia
350056;Plena Noite
350057;Pleno dia
350058;Pleno dia
350059;Pleno dia
350061;Pleno dia
350062;Pleno dia
350063;Plena Noite
350064;Pleno dia
350065;Pleno dia
350066;Pleno dia
350067;Pleno dia
350068;Pleno dia
350069;Pleno dia
350070;Pleno dia
350071;Pleno dia
350072;Pleno dia
350073;Pleno dia
350074;Pleno dia
350075;Pleno dia
350077;Pleno dia
350078;Pleno dia
350079;Pleno dia
350080;Pleno dia
350081;Pleno dia
350082;Pleno dia
350084;Pleno dia
350085;Pleno dia
350086;Pleno dia
350087;Pleno dia
350088;Pleno dia
350089;Pleno dia
350090;Pleno dia
350091;Pleno dia
350092;Pleno dia
350094;Pleno dia
350095;Pleno dia
350096;Pleno dia
350097;Pleno dia
350098;Pleno dia
350099;Pleno dia
350100;Pleno dia
350101;Anoitecer
350102;Pleno dia
350103;Pleno dia
350104;Pleno dia
350105;Pleno dia
350106;Pleno dia
350107;Pleno dia
350108;Anoitecer
350109;Pleno dia
350110;Pleno dia
350111;Anoitecer
350112;Anoitecer
350113;Anoitecer
350114;Pleno dia
350115;Pleno dia
350116;Plena Noite
350117;Anoitecer
350118;Pleno dia
350120;Anoitecer
350121;Pleno dia
350122;Plena Noite
350123;Pleno dia
350124;Pleno dia
350125;Pleno dia
350126;Plena Noite
350127;Pleno dia
350128;Pleno dia
350129;Plena Noite
350130;Pleno dia
350131;Plena Noite
350132;Plena Noite
350134;Plena Noite
350136;Plena Noite
350138;Plena Noite
350139;Plena Noite
350140;Pleno dia
350141;Plena Noite
350142;Plena Noite
350143;Pleno dia
350144;Plena Noite
350145;Plena Noite
350147;Anoitecer
350148;Plena Noite
350149;Plena Noite
350150;Plena Noite
350151;Pleno dia
350152;Pleno dia
350153;Plena Noite
350154;Pleno dia
350156;Plena Noite
350158;Plena Noite
350159;Pleno dia
350160;Pleno dia
350161;Anoitecer
350162;Plena Noite
350163;Plena Noite
350165;Plena Noite
350166;Plena Noite
350167;Plena Noite
350169;Plena Noite
350170;Plena Noite
350171;Plena Noite
350173;Plena Noite
350174;Plena Noite
350175;Plena Noite
350176;Plena Noite
350177;Amanhecer
350178;Pleno dia
350180;Plena Noite
350181;Amanhecer
350184;Plena Noite
350185;Pleno dia
350186;Pleno dia
350187;Pleno dia
350188;Plena Noite
350189;Pleno dia
350191;Pleno dia
350192;Pleno dia
350193;Plena Noite
350195;Pleno dia
350196;Pleno dia
350197;Anoitecer
350198;Pleno dia
350199;Pleno dia
350200;Pleno dia
350201;Pleno dia
350202;Plena Noite
350204;Pleno dia
350205;Pleno dia
350206;Pleno dia
350207;Pleno dia
350209;Pleno dia
350210;Pleno dia
350211;Pleno dia
350212;Pleno dia
350213;Plena Noite
350214;Pleno dia
350216;Pleno dia
350217;Pleno dia
350218;Pleno dia
350219;Pleno dia
350220;Pleno dia
350222;Pleno dia
350225;Pleno dia
350226;Pleno dia
350228;Pleno dia
350230;Pleno dia
350231;Pleno dia
350232;Pleno dia
350233;Pleno dia
350234;Pleno dia
350235;Pleno dia
350238;Pleno dia
350239;Pleno dia
350240;Pleno dia
350242;Plena Noite
350243;Pleno dia
350244;Pleno dia
350245;Pleno dia
350246;Anoitecer
350247;Pleno dia
350248;Pleno dia
350249;Plena Noite
350251;Pleno dia
350252;Pleno dia
350253;Pleno dia
350254;Pleno dia
350257;Pleno dia
350258;Pleno dia
350259;Pleno dia
350261;Pleno dia
350262;Pleno dia
350263;Pleno dia
350264;Pleno dia
350265;Pleno dia
350266;Pleno dia
350267;Pleno dia
350268;Pleno dia
350269;Pleno dia
350270;Pleno dia
350272;Pleno dia
350273;Pleno dia
350274;Pleno dia
350276;Pleno dia
350277;Pleno dia
350278;Pleno dia
350279;Pleno dia
350280;Pleno dia
350281;Anoitecer
350282;Pleno dia
350283;Pleno dia
350284;Anoitecer
350285;Anoitecer
350286;Pleno dia
350287;Anoitecer
350288;Pleno dia
350289;Pleno dia
350290;Anoitecer
350291;Pleno dia
350292;Anoitecer
350293;Pleno dia
350294;Pleno dia
350296;Pleno dia
350297;Plena Noite
350298;Plena Noite
350300;Plena Noite
350301;Pleno dia
350302;Pleno dia
350303;Pleno dia
350304;Anoitecer
350305;Pleno dia
350307;Plena Noite
350309;Pleno dia
350310;Anoitecer
350311;Anoitecer
350312;Plena Noite
350313;Plena Noite
350314;Plena Noite
350315;Plena Noite
350316;Plena Noite
350317;Anoitecer
350318;Plena Noite
350319;Plena Noite
350320;Pleno dia
350321;Plena Noite
350322;Pleno dia
350324;Plena Noite
350325;Plena Noite
350326;Pleno dia
350327;Plena Noite
350328;Pleno dia
350329;Plena Noite
350330;Plena Noite
350331;Plena Noite
350332;Anoitecer
350333;Plena Noite
350334;Plena Noite
350335;Plena Noite
350336;Plena Noite
350337;Amanhecer
350338;Plena Noite
350339;Anoitecer
350340;Plena Noite
350341;Plena Noite
350342;Plena Noite
350343;Plena Noite
350344;Plena Noite
350345;Pleno dia
350346;Plena Noite
350347;Plena Noite
350348;Plena Noite
350349;Plena Noite
350350;Plena Noite
350351;Plena Noite
350352;Plena Noite
350353;Anoitecer
350355;Plena Noite
350357;Plena Noite
350358;Plena Noite
350359;Plena Noite
350360;Plena Noite
350361;Plena Noite
350362;Plena Noite
350363;Amanhecer
350364;Amanhecer
350365;Amanhecer
350366;Amanhecer
350368;Pleno dia
350369;Pleno dia
350370;Pleno dia
350371;Plena Noite
350373;Pleno dia
350374;Plena Noite
350375;Pleno dia
350376;Plena Noite
350377;Pleno dia
350378;Pleno dia
350379;Amanhecer
350380;Pleno dia
350382;Pleno dia
350383;Pleno dia
350385;Pleno dia
350386;Pleno dia
350387;Pleno dia
350389;Pleno dia
350390;Pleno dia
350391;Pleno dia
350392;Pleno dia
350393;Pleno dia
350394;Pleno dia
350395;Pleno dia
350398;Pleno dia
350399;Pleno dia
350400;Pleno dia
350401;Pleno dia
350402;Pleno dia
350403;Pleno dia
350404;Pleno dia
350405;Pleno dia
350406;Pleno dia
350407;Pleno dia
350408;Pleno dia
350410;Pleno dia
350411;Pleno dia
350412;Pleno dia
350414;Pleno dia
350415;Pleno dia
350417;Pleno dia
350418;Pleno dia
350419;Pleno dia
350420;Pleno dia
350421;Pleno dia
350422;Plena Noite
350423;Pleno dia
350424;Plena Noite
350425;Pleno dia
350426;Pleno dia
350427;Pleno dia
350428;Pleno dia
350430;Pleno dia
350432;Pleno dia
350433;Pleno dia
350434;Pleno dia
350435;Pleno dia
350437;Pleno dia
350438;Pleno dia
350439;Pleno dia
350440;Plena Noite
350441;Pleno dia
350442;Pleno dia
350446;Pleno dia
350447;Pleno dia
350448;Pleno dia
350449;Pleno dia
350450;Pleno dia
350451;Pleno dia
350453;Plena Noite
350454;Pleno dia
350455;Anoitecer
350456;Pleno dia
350457;Anoitecer
350459;Pleno dia
350460;Pleno dia
350461;Pleno dia
350462;Pleno dia
350463;Plena Noite
350464;Plena Noite
350465;Amanhecer
350466;Anoitecer
350467;Anoitecer
350468;Pleno dia
350469;Anoitecer
350470;Anoitecer
350471;Anoitecer
350472;Pleno dia
350473;Plena Noite
350474;Pleno dia
350475;Anoitecer
350476;Plena Noite
350478;Plena Noite
350479;Plena Noite
350480;Plena Noite
350481;Anoitecer
350482;Plena Noite
350483;Plena Noite
350484;Pleno dia
350485;Pleno dia
350486;Plena Noite
350487;Pleno dia
350488;Pleno dia
350489;Plena Noite
350490;Plena Noite
350491;Plena Noite
350492;Pleno dia
350494;Anoitecer
350495;Plena Noite
350496;Pleno dia
350497;Plena Noite
350498;Plena Noite
350499;Anoitecer
350500;Plena Noite
350501;Plena Noite
350502;Pleno dia
350503;Plena Noite
350504;Plena Noite
350505;Plena Noite
350506;Plena Noite
350509;Plena Noite
350510;Plena Noite
350511;Plena Noite
350513;Plena Noite
350516;Plena Noite
350517;Plena Noite
350520;Plena Noite
350522;Plena Noite
350523;Plena Noite
350525;Plena Noite
350526;Plena Noite
350527;Plena Noite
350528;Plena Noite
350529;Anoitecer
350531;Plena Noite
350532;Amanhecer
350533;Plena Noite
350535;Amanhecer
350536;Pleno dia
350537;Amanhecer
350538;Pleno dia
350540;Plena Noite
350541;Amanhecer
350542;Plena Noite
350543;Pleno dia
350544;Pleno dia
350545;Amanhecer
350546;Amanhecer
350547;Pleno dia
350548;Pleno dia
350549;Pleno dia
350550;Pleno dia
350551;Pleno dia
350553;Pleno dia
350554;Pleno dia
350556;Pleno dia
350557;Pleno dia
350558;Plena Noite
350559;Plena Noite
350560;Plena Noite
350562;Pleno dia
350563;Pleno dia
350564;Pleno dia
350565;Pleno dia
350566;Pleno dia
350567;Pleno dia
350568;Pleno dia
350569;Pleno dia
350570;Plena Noite
350571;Pleno dia
350572;Pleno dia
350573;Pleno dia
350574;Pleno dia
350575;Plena Noite
350576;Pleno dia
350577;Pleno dia
350578;Plena Noite
350580;Pleno dia
350581;Pleno dia
350583;Pleno dia
350584;Pleno dia
350585;Pleno dia
350586;Pleno dia
350587;Pleno dia
350588;Pleno dia
350590;Plena Noite
350591;Pleno dia
350593;Pleno dia
350594;Pleno dia
350595;Pleno dia
350596;Pleno dia
350597;Pleno dia
350598;Pleno dia
350599;Pleno dia
350600;Pleno dia
350601;Pleno dia
350602;Pleno dia
350605;Pleno dia
350607;Pleno dia
350608;Pleno dia
350609;Pleno dia
350610;Pleno dia
350611;Pleno dia
350612;Pleno dia
350614;Pleno dia
350615;Pleno dia
350616;Pleno dia
350619;Pleno dia
350620;Pleno dia
350621;Pleno dia
350622;Pleno dia
350623;Pleno dia
350624;Anoitecer
350625;Anoitecer
350626;Pleno dia
350627;Anoitecer
350628;Pleno dia
350629;Anoitecer
350630;Anoitecer
350631;Pleno dia
350633;Plena Noite
350634;Pleno dia
350635;Anoitecer
350636;Plena Noite
350637;Plena Noite
350638;Pleno dia
350640;Anoitecer
350641;Plena Noite
350643;Plena Noite
350644;Plena Noite
350645;Pleno dia
350646;Pleno dia
350647;Anoitecer
350648;Anoitecer
350649;Plena Noite
350651;Anoitecer
350652;Pleno dia
350653;Anoitecer
350654;Plena Noite
350655;Anoitecer
350656;Pleno dia
350657;Anoitecer
350658;Pleno dia
350659;Plena Noite
350660;Plena Noite
350662;Plena Noite
350663;Plena Noite
350664;Pleno dia
350665;Plena Noite
350666;Plena Noite
350667;Plena Noite
350668;Plena Noite
350669;Plena Noite
350670;Plena Noite
350671;Plena Noite
350672;Plena Noite
350673;Plena Noite
350674;Plena Noite
350675;Plena Noite
350676;Plena Noite
350677;Plena Noite
350678;Pleno dia
350679;Plena Noite
350680;Plena Noite
350681;Plena Noite
350682;Plena Noite
350683;Plena Noite
350684;Pleno dia
350685;Plena Noite
350687;Plena Noite
350689;Plena Noite
350690;Plena Noite
350692;Plena Noite
350693;Plena Noite
350694;Plena Noite
350696;Plena Noite
350697;Plena Noite
350698;Plena Noite
350699;Plena Noite
350701;Amanhecer
350702;Anoitecer
350703;Amanhecer
350704;Pleno dia
350705;Plena Noite
350707;Pleno dia
350708;Plena Noite
350709;Pleno dia
350710;Pleno dia
350711;Pleno dia
350712;Pleno dia
350713;Pleno dia
350714;Pleno dia
350716;Pleno dia
350719;Plena Noite
350720;Pleno dia
350721;Pleno dia
350722;Pleno dia
350723;Amanhecer
350724;Pleno dia
350726;Pleno dia
350727;Pleno dia
350728;Pleno dia
350729;Pleno dia
350731;Pleno dia
350732;Pleno dia
350733;Pleno dia
350734;Pleno dia
350735;Pleno dia
350736;Pleno dia
350737;Pleno dia
350738;Pleno dia
350739;Pleno dia
350740;Pleno dia
350741;Pleno dia
350742;Pleno dia
350743;Amanhecer
350746;Amanhecer
350747;Pleno dia
350748;Pleno dia
350749;Pleno dia
350750;Amanhecer
350751;Pleno dia
350752;Pleno dia
350754;Pleno dia
350756;Pleno dia
350757;Pleno dia
350758;Pleno dia
350759;Pleno dia
350760;Pleno dia
350761;Pleno dia
350762;Pleno dia
350763;Pleno dia
350764;Pleno dia
350765;Plena Noite
